"week" "mean" "sd"
"1" "2012-07-31" 34.6398429881097 24.1279000209831
"2" "2012-08-07" 49.8671505008015 53.5896686163013
"3" "2012-08-14" 26.3929285542377 28.2834796819219
"4" "2012-08-21" 46.9939337094358 88.8711141926735
"5" "2012-08-28" 36.891067418213 23.0626640300246
"6" "2012-09-04" 34.91922445886 21.7308421100378
"7" "2012-09-11" 35.1304116894446 25.8111251198046
"8" "2012-09-18" 37.0968929200803 26.8244075909498
"9" "2012-09-25" 32.6561095054062 18.6353287229335
"10" "2012-10-02" 30.8657756115626 19.50575819254
"11" "2012-10-09" 32.6395778023525 22.3851453842033
"12" "2012-10-16" 25.6393663470054 17.2018744865891
"13" "2012-10-23" 31.3131976545841 26.5015822699063
"14" "2012-10-30" 34.139987683912 23.669237300172
"15" "2012-11-06" 33.4649361183496 24.8181240633196
"16" "2012-11-13" 26.118598034489 17.9931448545151
"17" "2012-11-20" 30.2337402665875 17.9120678008015
"18" "2012-11-27" 25.9877071631477 18.0262448328081
"19" "2012-12-04" 21.8526089984022 12.8218683541338
"20" "2012-12-11" 23.2245909696273 14.1460517197302
"21" "2012-12-18" 32.7312912474124 22.572397105688
"22" "2012-12-25" 28.4727685827717 16.181057379195
"23" "2013-01-01" 31.6191815623481 25.3472381887561
"24" "2013-01-08" 24.8185812722906 13.4147325606084
"25" "2013-01-15" 28.7936064922909 18.059673388579
"26" "2013-01-22" 25.6700940041583 12.6418210674803
"27" "2013-01-29" 29.3893406572334 15.971386538079
"28" "2013-02-05" 28.3489000769986 18.7368053276221
"29" "2013-02-12" 27.6307757650172 22.1616952648373
"30" "2013-02-19" 26.3154611764727 14.7591998924105
"31" "2013-02-26" 28.9355824077359 18.1321598652535
"32" "2013-03-05" 29.5166183967747 16.0023600909104
"33" "2013-03-12" 27.2843295416794 20.7816852139699
"34" "2013-03-19" 31.6836897879538 22.0653522977614
"35" "2013-03-26" 30.6956843551309 23.6420395697074
"36" "2013-04-02" 33.7053027608979 23.8401903319152
"37" "2013-04-09" 29.5099348006415 19.3327777384756
"38" "2013-04-16" 22.3684786606086 16.6611657443024
