"week" "chw" "score" "rank" "week_mean" "week_sd" "threshold"
"1" 1 "89fda0284e008d2e0c980fb13f957a1e" 98.3141539756785 1 34.6398429881097 24.1279000209831 82.8956430300758
"2" 1 "89fda0284e008d2e0c980fb13f94e5b7" 75.1341009184555 2 34.6398429881097 24.1279000209831 82.8956430300758
"3" 1 "89fda0284e008d2e0c980fb13f97e56a" 59.0055322940521 3 34.6398429881097 24.1279000209831 82.8956430300758
"4" 1 "89fda0284e008d2e0c980fb13f97cef7" 57.0603005159733 4 34.6398429881097 24.1279000209831 82.8956430300758
"5" 1 "89fda0284e008d2e0c980fb13f9a3e49" 51.4852183938278 5 34.6398429881097 24.1279000209831 82.8956430300758
"6" 1 "89fda0284e008d2e0c980fb13f951435" 44.235613859946 6 34.6398429881097 24.1279000209831 82.8956430300758
"7" 1 "89fda0284e008d2e0c980fb13f9528e1" 34.4827399244945 7 34.6398429881097 24.1279000209831 82.8956430300758
"8" 1 "89fda0284e008d2e0c980fb13f9ad888" 30.4486335339966 8 34.6398429881097 24.1279000209831 82.8956430300758
"9" 1 "89fda0284e008d2e0c980fb13f97bdf2" 27.8497622955517 9 34.6398429881097 24.1279000209831 82.8956430300758
"10" 1 "89fda0284e008d2e0c980fb13f950d25" 27.5034468167769 10 34.6398429881097 24.1279000209831 82.8956430300758
"11" 1 "89fda0284e008d2e0c980fb13f9b5305" 27.2318285475463 11 34.6398429881097 24.1279000209831 82.8956430300758
"12" 1 "89fda0284e008d2e0c980fb13f979609" 26.4974397725005 12 34.6398429881097 24.1279000209831 82.8956430300758
"13" 1 "89fda0284e008d2e0c980fb13f95b755" 23.0669973357204 13 34.6398429881097 24.1279000209831 82.8956430300758
"14" 1 "89fda0284e008d2e0c980fb13f9ad330" 17.8968198789369 14 34.6398429881097 24.1279000209831 82.8956430300758
"15" 1 "89fda0284e008d2e0c980fb13f97722c" 13.2629565899747 15 34.6398429881097 24.1279000209831 82.8956430300758
"16" 1 "89fda0284e008d2e0c980fb13f97a0ca" 12.1656617083593 16 34.6398429881097 24.1279000209831 82.8956430300758
"17" 1 "70c6ba6f55ed21716fe725c21469e6ed" 11.5549305311592 17 34.6398429881097 24.1279000209831 82.8956430300758
"18" 1 "70c6ba6f55ed21716fe725c21469c91d" 10.4804399405667 18 34.6398429881097 24.1279000209831 82.8956430300758
"19" 1 "89fda0284e008d2e0c980fb13f99a86d" 10.4804399405667 19 34.6398429881097 24.1279000209831 82.8956430300758
"20" 2 "89fda0284e008d2e0c980fb13f99a592" 190.514970344058 1 49.8671505008015 53.5896686163013 157.046487733404
"21" 2 "70c6ba6f55ed21716fe725c21469fe3b" 115.150856420777 2 49.8671505008015 53.5896686163013 157.046487733404
"22" 2 "89fda0284e008d2e0c980fb13f9a94f7" 114.303460353383 3 49.8671505008015 53.5896686163013 157.046487733404
"23" 2 "89fda0284e008d2e0c980fb13f99a47e" 51.9089802279308 4 49.8671505008015 53.5896686163013 157.046487733404
"24" 2 "89fda0284e008d2e0c980fb13f98872f" 50.4237927525751 5 49.8671505008015 53.5896686163013 157.046487733404
"25" 2 "89fda0284e008d2e0c980fb13f9a3e49" 41.0213789535126 6 49.8671505008015 53.5896686163013 157.046487733404
"26" 2 "89fda0284e008d2e0c980fb13f95b755" 31.8884855220014 7 49.8671505008015 53.5896686163013 157.046487733404
"27" 2 "89fda0284e008d2e0c980fb13f97eeaa" 21.4347392543773 8 49.8671505008015 53.5896686163013 157.046487733404
"28" 2 "89fda0284e008d2e0c980fb13f981bae" 16.3594063643498 9 49.8671505008015 53.5896686163013 157.046487733404
"29" 2 "89fda0284e008d2e0c980fb13f9b1273" 14.4401579768403 10 49.8671505008015 53.5896686163013 157.046487733404
"30" 2 "70c6ba6f55ed21716fe725c21469c91d" 14.0298349977948 11 49.8671505008015 53.5896686163013 157.046487733404
"31" 2 "89fda0284e008d2e0c980fb13f94e5b7" 13.6768396814954 12 49.8671505008015 53.5896686163013 157.046487733404
"32" 2 "89fda0284e008d2e0c980fb13f97cef7" 13.3593631356457 13 49.8671505008015 53.5896686163013 157.046487733404
"33" 2 "89fda0284e008d2e0c980fb13f9b0cfa" 9.62784102647944 14 49.8671505008015 53.5896686163013 157.046487733404
"34" 3 "89fda0284e008d2e0c980fb13f983809" 148.253461915696 1 26.3929285542377 28.2834796819219 82.9598879180814
"35" 3 "89fda0284e008d2e0c980fb13f9900d3" 47.4093297745533 2 26.3929285542377 28.2834796819219 82.9598879180814
"36" 3 "89fda0284e008d2e0c980fb13f96372c" 41.700065990602 3 26.3929285542377 28.2834796819219 82.9598879180814
"37" 3 "89fda0284e008d2e0c980fb13f978e69" 40.5918099128145 4 26.3929285542377 28.2834796819219 82.9598879180814
"38" 3 "89fda0284e008d2e0c980fb13f9b0cfa" 32.460003639184 5 26.3929285542377 28.2834796819219 82.9598879180814
"39" 3 "89fda0284e008d2e0c980fb13f9a94f7" 30.248817039283 6 26.3929285542377 28.2834796819219 82.9598879180814
"40" 3 "89fda0284e008d2e0c980fb13f9528e1" 30.1924211911233 7 26.3929285542377 28.2834796819219 82.9598879180814
"41" 3 "89fda0284e008d2e0c980fb13f98311d" 24.7360099563119 8 26.3929285542377 28.2834796819219 82.9598879180814
"42" 3 "89fda0284e008d2e0c980fb13f9b46eb" 24.4904939341987 9 26.3929285542377 28.2834796819219 82.9598879180814
"43" 3 "89fda0284e008d2e0c980fb13f964e6a" 23.765715900535 10 26.3929285542377 28.2834796819219 82.9598879180814
