"c" "over_count" "over_weeks" "over_ratio" "nweeks_reporting"
"1" "89fda0284e008d2e0c980fb13f957a1e" "68" "7" "0.1" "10"
"2" "89fda0284e008d2e0c980fb13f9ad330" "1" "1" "0.142857142857143" "7"
"3" "89fda0284e008d2e0c980fb13f97e56a" "61" "10" "0.05" "20"
"4" "89fda0284e008d2e0c980fb13f97bdf2" "2" "1" "0.166666666666667" "6"
"5" "89fda0284e008d2e0c980fb13f9a3e49" "18" "4" "0.0909090909090909" "11"
"6" "89fda0284e008d2e0c980fb13f95b755" "23" "4" "0.05" "20"
"7" "89fda0284e008d2e0c980fb13f9528e1" "27" "2" "0.0714285714285714" "14"
"8" "89fda0284e008d2e0c980fb13f94e5b7" "26" "9" "0.0454545454545455" "22"
"9" "89fda0284e008d2e0c980fb13f97cef7" "45" "11" "0.0454545454545455" "22"
"10" "89fda0284e008d2e0c980fb13f950d25" "8" "4" "0.111111111111111" "9"
"11" "89fda0284e008d2e0c980fb13f97a0ca" "0" "0" "0.0833333333333333" "12"
"12" "89fda0284e008d2e0c980fb13f9ad888" "19" "5" "0.0833333333333333" "12"
"13" "70c6ba6f55ed21716fe725c21469c91d" "5" "3" "0.111111111111111" "9"
"14" "89fda0284e008d2e0c980fb13f979609" "51" "8" "0.0526315789473684" "19"
"15" "89fda0284e008d2e0c980fb13f951435" "15" "6" "0.0555555555555556" "18"
"16" "89fda0284e008d2e0c980fb13f9b5305" "20" "2" "0.333333333333333" "3"
"17" "70c6ba6f55ed21716fe725c21469e6ed" "15" "5" "0.0833333333333333" "12"
"18" "89fda0284e008d2e0c980fb13f97722c" "43" "7" "0.0833333333333333" "12"
"19" "89fda0284e008d2e0c980fb13f99a86d" "30" "14" "0.0434782608695652" "23"
"20" "89fda0284e008d2e0c980fb13f99a592" "21" "4" "0.0833333333333333" "12"
"21" "70c6ba6f55ed21716fe725c21469fe3b" "19" "5" "0.0454545454545455" "22"
"22" "89fda0284e008d2e0c980fb13f9a94f7" "23" "6" "0.0625" "16"
"23" "89fda0284e008d2e0c980fb13f98872f" "56" "11" "0.0454545454545455" "22"
"24" "89fda0284e008d2e0c980fb13f99a47e" "8" "3" "0.111111111111111" "9"
"25" "89fda0284e008d2e0c980fb13f981bae" "1" "1" "0.1" "10"
"26" "89fda0284e008d2e0c980fb13f97eeaa" "42" "10" "0.04" "25"
"27" "89fda0284e008d2e0c980fb13f9b1273" "32" "4" "0.0909090909090909" "11"
"28" "89fda0284e008d2e0c980fb13f9b0cfa" "19" "3" "0.1" "10"
"29" "89fda0284e008d2e0c980fb13f99f8e5" "30" "9" "0.0416666666666667" "24"
"30" "89fda0284e008d2e0c980fb13f97850c" "64" "12" "0.04" "25"
"31" "89fda0284e008d2e0c980fb13f973bdc" "10" "3" "0.125" "8"
"32" "89fda0284e008d2e0c980fb13f96372c" "57" "10" "0.05" "20"
"33" "89fda0284e008d2e0c980fb13f98311d" "11" "2" "0.2" "5"
"34" "89fda0284e008d2e0c980fb13f964e6a" "39" "15" "0.0476190476190476" "21"
"35" "89fda0284e008d2e0c980fb13f983809" "25" "4" "0.0769230769230769" "13"
"36" "89fda0284e008d2e0c980fb13f9917a0" "37" "8" "0.0476190476190476" "21"
"37" "89fda0284e008d2e0c980fb13f9900d3" "4" "2" "0.25" "4"
"38" "89fda0284e008d2e0c980fb13f995be3" "32" "7" "0.0714285714285714" "14"
"39" "89fda0284e008d2e0c980fb13f960ab3" "38" "7" "0.0666666666666667" "15"
"40" "89fda0284e008d2e0c980fb13f9b46eb" "22" "6" "0.0434782608695652" "23"
"41" "89fda0284e008d2e0c980fb13f94fae5" "46" "4" "0.0833333333333333" "12"
"42" "89fda0284e008d2e0c980fb13f994cf8" "73" "13" "0.0526315789473684" "19"
"43" "89fda0284e008d2e0c980fb13f9623b3" "27" "4" "0.0625" "16"
"44" "89fda0284e008d2e0c980fb13f978e69" "13" "5" "0.166666666666667" "6"
"45" "89fda0284e008d2e0c980fb13f96807a" "72" "16" "0.037037037037037" "27"
"46" "89fda0284e008d2e0c980fb13f953df5" "69" "12" "0.0714285714285714" "14"
"47" "89fda0284e008d2e0c980fb13f9b3f75" "34" "3" "0.0454545454545455" "22"
"48" "89fda0284e008d2e0c980fb13f9509fd" "13" "4" "0.0769230769230769" "13"
"49" "89fda0284e008d2e0c980fb13f9992a6" "39" "11" "0.0588235294117647" "17"
"50" "89fda0284e008d2e0c980fb13f978578" "1" "1" "0.1" "10"
"51" "89fda0284e008d2e0c980fb13f9a51a9" "56" "6" "0.0769230769230769" "13"
"52" "89fda0284e008d2e0c980fb13f9628e2" "86" "16" "0.0384615384615385" "26"
"53" "89fda0284e008d2e0c980fb13f9899b3" "2" "2" "0.2" "5"
"54" "89fda0284e008d2e0c980fb13f960194" "9" "5" "0.0769230769230769" "13"
"55" "fcd13ae716841026ee760704bb0d89a7" "0" "0" "0.333333333333333" "3"
"56" "89fda0284e008d2e0c980fb13f956856" "12" "4" "0.166666666666667" "6"
"57" "89fda0284e008d2e0c980fb13f999c89" "15" "4" "0.0769230769230769" "13"
"58" "89fda0284e008d2e0c980fb13f9afb45" "4" "1" "0.5" "2"
"59" "89fda0284e008d2e0c980fb13f9ad060" "67" "11" "0.0588235294117647" "17"
"60" "89fda0284e008d2e0c980fb13f96442a" "32" "8" "0.0666666666666667" "15"
"61" "fcd13ae716841026ee760704bb0d99ee" "41" "10" "0.0416666666666667" "24"
"62" "fcd13ae716841026ee760704bb0da4a8" "13" "3" "0.1" "10"
"63" "89fda0284e008d2e0c980fb13f966efc" "44" "12" "0.0555555555555556" "18"
"64" "89fda0284e008d2e0c980fb13f970c18" "26" "5" "0.111111111111111" "9"
"65" "89fda0284e008d2e0c980fb13f95477d" "5" "4" "0.0588235294117647" "17"
"66" "89fda0284e008d2e0c980fb13f99886e" "8" "1" "0.333333333333333" "3"
"67" "89fda0284e008d2e0c980fb13f978216" "36" "12" "0.0588235294117647" "17"
"68" "89fda0284e008d2e0c980fb13f964b7e" "35" "11" "0.0454545454545455" "22"
"69" "89fda0284e008d2e0c980fb13f97dff4" "67" "12" "0.0555555555555556" "18"
"70" "89fda0284e008d2e0c980fb13f99b52b" "5" "2" "0.125" "8"
"71" "89fda0284e008d2e0c980fb13f950688" "14" "3" "0.111111111111111" "9"
"72" "89fda0284e008d2e0c980fb13f95fe45" "36" "10" "0.0555555555555556" "18"
"73" "89fda0284e008d2e0c980fb13f966e31" "30" "5" "0.0555555555555556" "18"
"74" "89fda0284e008d2e0c980fb13f99a3ad" "23" "7" "0.0555555555555556" "18"
"75" "89fda0284e008d2e0c980fb13f968eb0" "50" "10" "0.0666666666666667" "15"
"76" "89fda0284e008d2e0c980fb13f985a55" "1" "1" "0.111111111111111" "9"
"77" "89fda0284e008d2e0c980fb13f970282" "27" "2" "0.142857142857143" "7"
"78" "89fda0284e008d2e0c980fb13f99d8c6" "24" "5" "0.0714285714285714" "14"
"79" "89fda0284e008d2e0c980fb13f97b53a" "2" "1" "0.2" "5"
"80" "89fda0284e008d2e0c980fb13f98fe2e" "3" "2" "0.166666666666667" "6"
"81" "89fda0284e008d2e0c980fb13f9978cb" "11" "3" "0.25" "4"
"82" "89fda0284e008d2e0c980fb13f972945" "6" "2" "0.111111111111111" "9"
"83" "89fda0284e008d2e0c980fb13f96e561" "0" "0" "0.25" "4"
"84" "89fda0284e008d2e0c980fb13f975e5c" "2" "1" "0.1" "10"
"85" "89fda0284e008d2e0c980fb13f95f7a6" "33" "9" "0.0454545454545455" "22"
"86" "70c6ba6f55ed21716fe725c214692ffd" "9" "4" "0.0833333333333333" "12"
"87" "89fda0284e008d2e0c980fb13f989136" "49" "5" "0.0666666666666667" "15"
"88" "89fda0284e008d2e0c980fb13f969126" "60" "12" "0.0526315789473684" "19"
"89" "89fda0284e008d2e0c980fb13f97bafa" "34" "10" "0.0476190476190476" "21"
"90" "89fda0284e008d2e0c980fb13f9a6042" "35" "8" "0.0625" "16"
"91" "70c6ba6f55ed21716fe725c2146903eb" "16" "2" "0.5" "2"
"92" "89fda0284e008d2e0c980fb13f98736b" "19" "9" "0.0476190476190476" "21"
"93" "89fda0284e008d2e0c980fb13f955485" "74" "10" "0.0769230769230769" "13"
"94" "89fda0284e008d2e0c980fb13f9735c8" "4" "2" "0.0833333333333333" "12"
"95" "70c6ba6f55ed21716fe725c2146966b6" "5" "2" "0.5" "2"
"96" "89fda0284e008d2e0c980fb13f97d834" "26" "6" "0.0666666666666667" "15"
"97" "89fda0284e008d2e0c980fb13f9b5439" "14" "5" "0.0666666666666667" "15"
"98" "89fda0284e008d2e0c980fb13f97583c" "3" "2" "0.0769230769230769" "13"
"99" "89fda0284e008d2e0c980fb13f97ae9f" "2" "1" "0.111111111111111" "9"
"100" "89fda0284e008d2e0c980fb13f98f9d5" "0" "0" "0.142857142857143" "7"
"101" "fcd13ae716841026ee760704bb0d92e5" "2" "2" "0.333333333333333" "3"
"102" "89fda0284e008d2e0c980fb13f966281" "40" "7" "0.0769230769230769" "13"
"103" "89fda0284e008d2e0c980fb13f992e2c" "19" "3" "0.111111111111111" "9"
"104" "89fda0284e008d2e0c980fb13f99f651" "1" "1" "0.125" "8"
"105" "89fda0284e008d2e0c980fb13f9a7b0c" "41" "12" "0.0454545454545455" "22"
"106" "89fda0284e008d2e0c980fb13f996b98" "55" "10" "0.05" "20"
"107" "89fda0284e008d2e0c980fb13f9866e8" "42" "8" "0.0526315789473684" "19"
"108" "89fda0284e008d2e0c980fb13f980116" "27" "7" "0.0555555555555556" "18"
"109" "89fda0284e008d2e0c980fb13f987d0e" "4" "2" "0.0666666666666667" "15"
"110" "89fda0284e008d2e0c980fb13f98e475" "12" "4" "0.142857142857143" "7"
"111" "89fda0284e008d2e0c980fb13f9a6d98" "3" "2" "0.25" "4"
"112" "89fda0284e008d2e0c980fb13f94f3f9" "13" "3" "0.2" "5"
"113" "89fda0284e008d2e0c980fb13f96554b" "37" "9" "0.0588235294117647" "17"
"114" "89fda0284e008d2e0c980fb13f999899" "14" "3" "0.125" "8"
"115" "89fda0284e008d2e0c980fb13f95d481" "39" "3" "0.125" "8"
"116" "89fda0284e008d2e0c980fb13f983d38" "14" "4" "0.0588235294117647" "17"
"117" "fcd13ae716841026ee760704bb0d7fee" "0" "0" "0.1" "10"
"118" "89fda0284e008d2e0c980fb13f99fa39" "0" "0" "0.166666666666667" "6"
"119" "89fda0284e008d2e0c980fb13f9b1c77" "25" "9" "0.05" "20"
"120" "89fda0284e008d2e0c980fb13f958239" "33" "10" "0.0476190476190476" "21"
"121" "89fda0284e008d2e0c980fb13f95f2b4" "30" "7" "0.0588235294117647" "17"
"122" "89fda0284e008d2e0c980fb13f95e9b4" "28" "9" "0.0666666666666667" "15"
"123" "89fda0284e008d2e0c980fb13f9b323a" "65" "15" "0.0384615384615385" "26"
"124" "89fda0284e008d2e0c980fb13f99e74b" "26" "6" "0.05" "20"
"125" "89fda0284e008d2e0c980fb13f9b2365" "26" "6" "0.1" "10"
"126" "89fda0284e008d2e0c980fb13f97256b" "11" "3" "0.166666666666667" "6"
"127" "89fda0284e008d2e0c980fb13f967b9f" "3" "2" "0.2" "5"
"128" "89fda0284e008d2e0c980fb13f961f23" "60" "6" "0.0769230769230769" "13"
"129" "89fda0284e008d2e0c980fb13f982710" "7" "3" "0.0714285714285714" "14"
"130" "70c6ba6f55ed21716fe725c214694627" "10" "4" "0.142857142857143" "7"
"131" "89fda0284e008d2e0c980fb13f9b19cd" "10" "2" "0.25" "4"
"132" "89fda0284e008d2e0c980fb13f9a6a78" "13" "3" "0.0909090909090909" "11"
"133" "89fda0284e008d2e0c980fb13f9ac931" "7" "2" "0.125" "8"
"134" "89fda0284e008d2e0c980fb13f958a63" "0" "0" "1" "1"
"135" "89fda0284e008d2e0c980fb13f952278" "53" "7" "0.0909090909090909" "11"
"136" "89fda0284e008d2e0c980fb13f976515" "9" "2" "0.166666666666667" "6"
"137" "fcd13ae716841026ee760704bb0d89b2" "40" "7" "0.0714285714285714" "14"
"138" "89fda0284e008d2e0c980fb13f99c940" "2" "1" "0.125" "8"
"139" "89fda0284e008d2e0c980fb13f97478a" "24" "3" "0.125" "8"
"140" "89fda0284e008d2e0c980fb13f956dab" "4" "2" "0.166666666666667" "6"
"141" "89fda0284e008d2e0c980fb13f98317d" "37" "6" "0.0909090909090909" "11"
"142" "89fda0284e008d2e0c980fb13f95300e" "25" "6" "0.0666666666666667" "15"
"143" "89fda0284e008d2e0c980fb13f992222" "8" "3" "0.0769230769230769" "13"
"144" "89fda0284e008d2e0c980fb13f9a5551" "25" "4" "0.0666666666666667" "15"
"145" "89fda0284e008d2e0c980fb13f985425" "19" "7" "0.0769230769230769" "13"
"146" "89fda0284e008d2e0c980fb13f96c45a" "33" "7" "0.0833333333333333" "12"
"147" "89fda0284e008d2e0c980fb13f976d3e" "25" "6" "0.0909090909090909" "11"
"148" "89fda0284e008d2e0c980fb13f96ef9f" "2" "1" "0.125" "8"
"149" "70c6ba6f55ed21716fe725c214694428" "19" "3" "0.0909090909090909" "11"
"150" "70c6ba6f55ed21716fe725c21469a1e0" "23" "5" "0.111111111111111" "9"
"151" "89fda0284e008d2e0c980fb13f94f406" "24" "5" "0.0909090909090909" "11"
"152" "70c6ba6f55ed21716fe725c21469d627" "21" "3" "0.166666666666667" "6"
"153" "89fda0284e008d2e0c980fb13f98b956" "51" "10" "0.0666666666666667" "15"
"154" "89fda0284e008d2e0c980fb13f980ee3" "1" "1" "0.125" "8"
"155" "89fda0284e008d2e0c980fb13f96f087" "1" "1" "0.166666666666667" "6"
"156" "89fda0284e008d2e0c980fb13f954d49" "18" "3" "0.142857142857143" "7"
"157" "89fda0284e008d2e0c980fb13f992875" "58" "6" "0.0714285714285714" "14"
"158" "89fda0284e008d2e0c980fb13f99fba3" "42" "6" "0.0909090909090909" "11"
"159" "89fda0284e008d2e0c980fb13f9aa5ec" "18" "8" "0.0625" "16"
"160" "89fda0284e008d2e0c980fb13f95bb9f" "15" "5" "0.166666666666667" "6"
"161" "89fda0284e008d2e0c980fb13f987fd5" "2" "2" "0.0909090909090909" "11"
"162" "89fda0284e008d2e0c980fb13f9aee39" "52" "5" "0.111111111111111" "9"
"163" "89fda0284e008d2e0c980fb13f979bb8" "13" "2" "0.2" "5"
"164" "89fda0284e008d2e0c980fb13f9597bc" "25" "4" "0.142857142857143" "7"
"165" "89fda0284e008d2e0c980fb13f9a88cd" "15" "4" "0.0909090909090909" "11"
"166" "89fda0284e008d2e0c980fb13f97540b" "0" "0" "0.333333333333333" "3"
"167" "89fda0284e008d2e0c980fb13f97fc0a" "26" "3" "0.142857142857143" "7"
"168" "89fda0284e008d2e0c980fb13f99f90d" "12" "5" "0.111111111111111" "9"
