"c" "num_over" "percent_over" "nquestions"
"1" "89fda0284e008d2e0c980fb13f95d481" "13" "0.178082191780822" "73"
"2" "89fda0284e008d2e0c980fb13f978216" "2" "0.0273972602739726" "73"
"3" "89fda0284e008d2e0c980fb13f9917a0" "2" "0.0273972602739726" "73"
"4" "89fda0284e008d2e0c980fb13f9b323a" "3" "0.0410958904109589" "73"
"5" "89fda0284e008d2e0c980fb13f97b53a" "0" "0" "73"
"6" "70c6ba6f55ed21716fe725c2146982df" "2" "0.0273972602739726" "73"
"7" "89fda0284e008d2e0c980fb13f99fba3" "2" "0.0273972602739726" "73"
"8" "89fda0284e008d2e0c980fb13f99a86d" "3" "0.0410958904109589" "73"
"9" "89fda0284e008d2e0c980fb13f9a51a9" "2" "0.0273972602739726" "73"
"10" "89fda0284e008d2e0c980fb13f982710" "1" "0.0136986301369863" "73"
"11" "89fda0284e008d2e0c980fb13f95205a" "0" "0" "73"
"12" "89fda0284e008d2e0c980fb13f97e56a" "5" "0.0684931506849315" "73"
"13" "89fda0284e008d2e0c980fb13f9ad060" "2" "0.0273972602739726" "73"
"14" "89fda0284e008d2e0c980fb13f99f8e5" "0" "0" "73"
"15" "89fda0284e008d2e0c980fb13f975e5c" "0" "0" "73"
"16" "89fda0284e008d2e0c980fb13f996b98" "2" "0.0273972602739726" "73"
"17" "70c6ba6f55ed21716fe725c21469d627" "0" "0" "73"
"18" "89fda0284e008d2e0c980fb13f9aa5ec" "1" "0.0136986301369863" "73"
"19" "89fda0284e008d2e0c980fb13f953df5" "1" "0.0136986301369863" "73"
"20" "89fda0284e008d2e0c980fb13f96a8a3" "0" "0" "73"
"21" "89fda0284e008d2e0c980fb13f9aee39" "4" "0.0547945205479452" "73"
"22" "89fda0284e008d2e0c980fb13f96807a" "4" "0.0547945205479452" "73"
"23" "89fda0284e008d2e0c980fb13f9623b3" "0" "0" "73"
"24" "89fda0284e008d2e0c980fb13f9a94f7" "0" "0" "73"
