"c" "percent_over" "nweeks_reporting"
"91" "89fda0284e008d2e0c980fb13f9a6d98" "0" "4"
"92" "89fda0284e008d2e0c980fb13f97d834" "0.0666666666666667" "15"
"93" "89fda0284e008d2e0c980fb13f966281" "0.0769230769230769" "13"
"94" "89fda0284e008d2e0c980fb13f969126" "0.0526315789473684" "19"
"95" "70c6ba6f55ed21716fe725c214692ffd" "0" "12"
"96" "89fda0284e008d2e0c980fb13f97bafa" "0" "21"
"97" "fcd13ae716841026ee760704bb0d92e5" "0" "3"
"98" "89fda0284e008d2e0c980fb13f9b5439" "0" "15"
"99" "89fda0284e008d2e0c980fb13f99f651" "0" "8"
"100" "89fda0284e008d2e0c980fb13f983d38" "0" "17"
"101" "89fda0284e008d2e0c980fb13f992e2c" "0" "9"
"102" "89fda0284e008d2e0c980fb13f9735c8" "0" "12"
"103" "89fda0284e008d2e0c980fb13f97583c" "0" "13"
"104" "89fda0284e008d2e0c980fb13f989136" "0.2" "15"
"105" "89fda0284e008d2e0c980fb13f98736b" "0" "21"
"106" "89fda0284e008d2e0c980fb13f98f9d5" "0" "7"
"107" "89fda0284e008d2e0c980fb13f980116" "0.0555555555555556" "18"
"108" "fcd13ae716841026ee760704bb0d7fee" "0" "10"
"109" "89fda0284e008d2e0c980fb13f996b98" "0.05" "20"
"110" "89fda0284e008d2e0c980fb13f97ae9f" "0" "9"
"111" "89fda0284e008d2e0c980fb13f9a7b0c" "0.0454545454545455" "22"
"112" "89fda0284e008d2e0c980fb13f9b1c77" "0" "20"
"113" "89fda0284e008d2e0c980fb13f98e475" "0" "7"
"114" "89fda0284e008d2e0c980fb13f9866e8" "0.0526315789473684" "19"
"115" "89fda0284e008d2e0c980fb13f95d481" "0.25" "8"
"116" "89fda0284e008d2e0c980fb13f987d0e" "0" "15"
"117" "89fda0284e008d2e0c980fb13f94f3f9" "0" "5"
"118" "89fda0284e008d2e0c980fb13f999899" "0" "8"
"119" "89fda0284e008d2e0c980fb13f99fa39" "0" "6"
"120" "89fda0284e008d2e0c980fb13f9b323a" "0.115384615384615" "26"
"121" "89fda0284e008d2e0c980fb13f9b2365" "0" "10"
"122" "89fda0284e008d2e0c980fb13f9ac931" "0" "8"
"123" "89fda0284e008d2e0c980fb13f9b19cd" "0" "4"
"124" "89fda0284e008d2e0c980fb13f97256b" "0" "6"
"125" "89fda0284e008d2e0c980fb13f95e9b4" "0" "15"
"126" "89fda0284e008d2e0c980fb13f95f2b4" "0.0588235294117647" "17"
"127" "89fda0284e008d2e0c980fb13f99e74b" "0.05" "20"
"128" "89fda0284e008d2e0c980fb13f982710" "0" "14"
"129" "89fda0284e008d2e0c980fb13f9a6a78" "0" "11"
"130" "89fda0284e008d2e0c980fb13f958a63" "0" "1"
"131" "89fda0284e008d2e0c980fb13f961f23" "0.153846153846154" "13"
"132" "89fda0284e008d2e0c980fb13f958239" "0" "21"
"133" "89fda0284e008d2e0c980fb13f967b9f" "0" "5"
"134" "89fda0284e008d2e0c980fb13f952278" "0.0909090909090909" "11"
"135" "89fda0284e008d2e0c980fb13f976515" "0" "6"
"136" "70c6ba6f55ed21716fe725c214694627" "0" "7"
"137" "89fda0284e008d2e0c980fb13f956dab" "0" "6"
"138" "89fda0284e008d2e0c980fb13f95300e" "0.0666666666666667" "15"
"139" "fcd13ae716841026ee760704bb0d89b2" "0.0714285714285714" "14"
"140" "89fda0284e008d2e0c980fb13f99c940" "0" "8"
"141" "89fda0284e008d2e0c980fb13f985425" "0" "13"
"142" "89fda0284e008d2e0c980fb13f98317d" "0.0909090909090909" "11"
"143" "89fda0284e008d2e0c980fb13f992222" "0" "13"
"144" "89fda0284e008d2e0c980fb13f96c45a" "0" "12"
"145" "89fda0284e008d2e0c980fb13f97478a" "0" "8"
"146" "89fda0284e008d2e0c980fb13f976d3e" "0.0909090909090909" "11"
"147" "89fda0284e008d2e0c980fb13f9a5551" "0.0666666666666667" "15"
"148" "89fda0284e008d2e0c980fb13f94f406" "0.0909090909090909" "11"
"149" "70c6ba6f55ed21716fe725c21469a1e0" "0.111111111111111" "9"
"150" "89fda0284e008d2e0c980fb13f980ee3" "0" "8"
"151" "70c6ba6f55ed21716fe725c21469d627" "0" "6"
"152" "89fda0284e008d2e0c980fb13f96ef9f" "0" "8"
"153" "89fda0284e008d2e0c980fb13f96f087" "0" "6"
"154" "89fda0284e008d2e0c980fb13f98b956" "0.0666666666666667" "15"
"155" "89fda0284e008d2e0c980fb13f954d49" "0.142857142857143" "7"
"156" "70c6ba6f55ed21716fe725c214694428" "0" "11"
"157" "89fda0284e008d2e0c980fb13f9aee39" "0.333333333333333" "9"
"158" "89fda0284e008d2e0c980fb13f979bb8" "0" "5"
"159" "89fda0284e008d2e0c980fb13f99fba3" "0.0909090909090909" "11"
"160" "89fda0284e008d2e0c980fb13f9aa5ec" "0" "16"
"161" "89fda0284e008d2e0c980fb13f95bb9f" "0" "6"
"162" "89fda0284e008d2e0c980fb13f987fd5" "0" "11"
"163" "89fda0284e008d2e0c980fb13f97540b" "0" "3"
"164" "89fda0284e008d2e0c980fb13f992875" "0.142857142857143" "14"
"165" "89fda0284e008d2e0c980fb13f9597bc" "0.142857142857143" "7"
"166" "89fda0284e008d2e0c980fb13f9a88cd" "0" "11"
"167" "89fda0284e008d2e0c980fb13f98ed57" "0.176470588235294" "17"
"168" "89fda0284e008d2e0c980fb13f99f90d" "0" "9"
"169" "89fda0284e008d2e0c980fb13f998a68" "0" "15"
"170" "89fda0284e008d2e0c980fb13f9a68f3" "0" "11"
"171" "89fda0284e008d2e0c980fb13f94d6ef" "0" "15"
"172" "89fda0284e008d2e0c980fb13f97fc0a" "0.142857142857143" "7"
"173" "89fda0284e008d2e0c980fb13f98d506" "0.0625" "16"
"174" "70c6ba6f55ed21716fe725c21469ace7" "0" "10"
"175" "89fda0284e008d2e0c980fb13f958016" "0" "5"
"176" "89fda0284e008d2e0c980fb13f9ab9a8" "0" "6"
"177" "89fda0284e008d2e0c980fb13f9692b3" "0.0769230769230769" "13"
"178" "89fda0284e008d2e0c980fb13f95dbc7" "0" "7"
"179" "89fda0284e008d2e0c980fb13f95ad0e" "0" "2"
"180" "89fda0284e008d2e0c980fb13f98d9d7" "0.111111111111111" "9"
"181" "89fda0284e008d2e0c980fb13f98c6e0" "0" "7"
"182" "89fda0284e008d2e0c980fb13f98af77" "0.2" "15"
"183" "89fda0284e008d2e0c980fb13f97031c" "0.5" "2"
"184" "89fda0284e008d2e0c980fb13f95205a" "0" "8"
"185" "89fda0284e008d2e0c980fb13f96114d" "0" "5"
"186" "89fda0284e008d2e0c980fb13f976b14" "0" "7"
"187" "89fda0284e008d2e0c980fb13f95a0fb" "0" "4"
"188" "89fda0284e008d2e0c980fb13f95623e" "0.0909090909090909" "11"
"189" "89fda0284e008d2e0c980fb13f98abea" "0" "19"
"190" "89fda0284e008d2e0c980fb13f9a9d0f" "0" "2"
"191" "fcd13ae716841026ee760704bb0d7ba4" "0" "3"
"192" "89fda0284e008d2e0c980fb13f96a8a3" "0" "7"
"193" "89fda0284e008d2e0c980fb13f98a6d5" "0" "16"
"194" "89fda0284e008d2e0c980fb13f993d70" "0" "1"
"195" "89fda0284e008d2e0c980fb13f990df9" "0" "1"
"196" "89fda0284e008d2e0c980fb13f9849f8" "0" "4"
"197" "89fda0284e008d2e0c980fb13f96bd60" "0" "1"
"198" "89fda0284e008d2e0c980fb13f96cf64" "0" "2"
"199" "89fda0284e008d2e0c980fb13f9ab153" "1" "1"
"200" "89fda0284e008d2e0c980fb13f955cb1" "0" "5"
"201" "89fda0284e008d2e0c980fb13f9ae796" "0" "12"
"202" "89fda0284e008d2e0c980fb13f950883" "0" "4"
"203" "89fda0284e008d2e0c980fb13f9b3322" "0.428571428571429" "7"
"204" "89fda0284e008d2e0c980fb13f997d88" "0.125" "8"
"205" "89fda0284e008d2e0c980fb13f94e6b6" "0" "7"
"206" "89fda0284e008d2e0c980fb13f9a4d8a" "0.133333333333333" "15"
"207" "70c6ba6f55ed21716fe725c2146982df" "0.166666666666667" "6"
"208" "89fda0284e008d2e0c980fb13f9a0d1f" "0" "3"
"209" "89fda0284e008d2e0c980fb13f97cb4f" "0" "4"
"210" "89fda0284e008d2e0c980fb13f96a690" "0" "2"
"211" "70c6ba6f55ed21716fe725c214691571" "0" "5"
"212" "89fda0284e008d2e0c980fb13f96fddb" "0" "4"
"213" "fb6e0b19cbe3ef683a10c4c47669d46d" "0" "1"
"214" "89fda0284e008d2e0c980fb13f9b05d4" "0.5" "2"
"215" "70c6ba6f55ed21716fe725c2146972eb" "0" "5"
"216" "89fda0284e008d2e0c980fb13f9a2e6b" "0.125" "8"
"217" "89fda0284e008d2e0c980fb13f9b1ab6" "0" "7"
"218" "89fda0284e008d2e0c980fb13f95cb81" "0" "2"
"219" "89fda0284e008d2e0c980fb13f9859d8" "0" "3"
"220" "89fda0284e008d2e0c980fb13f97710a" "0" "2"
"221" "89fda0284e008d2e0c980fb13f96de63" "0" "6"
"222" "fb6e0b19cbe3ef683a10c4c47669bc70" "0" "2"
"223" "fb6e0b19cbe3ef683a10c4c47669d0ce" "0" "5"
"224" "89fda0284e008d2e0c980fb13f9a06a3" "0" "2"
"225" "89fda0284e008d2e0c980fb13f9a1c42" "0" "4"
"226" "89fda0284e008d2e0c980fb13f9a052b" "0" "1"
"227" "89fda0284e008d2e0c980fb13f959c0a" "0" "4"
"228" "89fda0284e008d2e0c980fb13f98fd43" "0" "2"
