"c" "over_count" "over_months" "over_ratio" "nmonths_reporting"
"1" "89fda0284e008d2e0c980fb13f9917a0" "13" "6" "0.111111111111111" "9"
"2" "89fda0284e008d2e0c980fb13f96807a" "22" "8" "0.111111111111111" "9"
"3" "89fda0284e008d2e0c980fb13f953df5" "34" "6" "0.166666666666667" "6"
"4" "89fda0284e008d2e0c980fb13f9b3f75" "5" "5" "0.111111111111111" "9"
"5" "89fda0284e008d2e0c980fb13f957a1e" "32" "5" "0.166666666666667" "6"
"6" "89fda0284e008d2e0c980fb13f9ad330" "3" "1" "0.166666666666667" "6"
"7" "89fda0284e008d2e0c980fb13f97e56a" "42" "4" "0.111111111111111" "9"
"8" "89fda0284e008d2e0c980fb13f94e5b7" "21" "5" "0.111111111111111" "9"
"9" "89fda0284e008d2e0c980fb13f99f8e5" "21" "3" "0.111111111111111" "9"
"10" "89fda0284e008d2e0c980fb13f97eeaa" "48" "4" "0.111111111111111" "9"
"11" "89fda0284e008d2e0c980fb13f97850c" "36" "7" "0.111111111111111" "9"
"12" "89fda0284e008d2e0c980fb13f99a592" "4" "1" "0.142857142857143" "7"
"13" "89fda0284e008d2e0c980fb13f989136" "43" "3" "0.166666666666667" "6"
"14" "89fda0284e008d2e0c980fb13f97dff4" "25" "6" "0.111111111111111" "9"
"15" "89fda0284e008d2e0c980fb13f97722c" "17" "3" "0.166666666666667" "6"
"16" "89fda0284e008d2e0c980fb13f969126" "28" "6" "0.142857142857143" "7"
"17" "89fda0284e008d2e0c980fb13f950d25" "2" "1" "0.142857142857143" "7"
"18" "89fda0284e008d2e0c980fb13f960ab3" "16" "4" "0.125" "8"
"19" "89fda0284e008d2e0c980fb13f9509fd" "4" "3" "0.111111111111111" "9"
"20" "89fda0284e008d2e0c980fb13f995be3" "14" "5" "0.166666666666667" "6"
"21" "89fda0284e008d2e0c980fb13f9a7b0c" "27" "7" "0.111111111111111" "9"
"22" "89fda0284e008d2e0c980fb13f955485" "40" "5" "0.142857142857143" "7"
"23" "89fda0284e008d2e0c980fb13f9992a6" "20" "6" "0.111111111111111" "9"
"24" "89fda0284e008d2e0c980fb13f97cef7" "38" "7" "0.125" "8"
