"c" "over_count" "over_weeks" "over_ratio" "nweeks_reporting"
"72" "89fda0284e008d2e0c980fb13f95fe45" "32" "9" "0.0555555555555556" "18"
"73" "89fda0284e008d2e0c980fb13f966e31" "27" "5" "0.0555555555555556" "18"
"74" "89fda0284e008d2e0c980fb13f99a3ad" "24" "7" "0.0555555555555556" "18"
"75" "89fda0284e008d2e0c980fb13f968eb0" "39" "9" "0.0666666666666667" "15"
"76" "89fda0284e008d2e0c980fb13f985a55" "1" "1" "0.111111111111111" "9"
"77" "89fda0284e008d2e0c980fb13f970282" "14" "2" "0.142857142857143" "7"
"78" "89fda0284e008d2e0c980fb13f99d8c6" "23" "5" "0.0714285714285714" "14"
"79" "89fda0284e008d2e0c980fb13f97b53a" "2" "1" "0.2" "5"
"80" "89fda0284e008d2e0c980fb13f98fe2e" "5" "2" "0.166666666666667" "6"
"81" "89fda0284e008d2e0c980fb13f9978cb" "9" "3" "0.25" "4"
"82" "89fda0284e008d2e0c980fb13f972945" "6" "2" "0.111111111111111" "9"
"83" "89fda0284e008d2e0c980fb13f96e561" "0" "0" "0.25" "4"
"84" "89fda0284e008d2e0c980fb13f975e5c" "2" "1" "0.1" "10"
"85" "89fda0284e008d2e0c980fb13f95f7a6" "25" "6" "0.0454545454545455" "22"
"86" "70c6ba6f55ed21716fe725c214692ffd" "6" "3" "0.0833333333333333" "12"
"87" "89fda0284e008d2e0c980fb13f989136" "46" "7" "0.0666666666666667" "15"
"88" "89fda0284e008d2e0c980fb13f969126" "49" "11" "0.0526315789473684" "19"
"89" "89fda0284e008d2e0c980fb13f97bafa" "31" "9" "0.0476190476190476" "21"
"90" "89fda0284e008d2e0c980fb13f9a6042" "25" "8" "0.0625" "16"
"91" "70c6ba6f55ed21716fe725c2146903eb" "13" "1" "0.5" "2"
"92" "89fda0284e008d2e0c980fb13f98736b" "11" "6" "0.0476190476190476" "21"
"93" "89fda0284e008d2e0c980fb13f955485" "58" "8" "0.0769230769230769" "13"
"94" "89fda0284e008d2e0c980fb13f9735c8" "5" "3" "0.0833333333333333" "12"
"95" "70c6ba6f55ed21716fe725c2146966b6" "8" "2" "0.5" "2"
"96" "89fda0284e008d2e0c980fb13f97d834" "24" "5" "0.0666666666666667" "15"
"97" "89fda0284e008d2e0c980fb13f9b5439" "12" "5" "0.0666666666666667" "15"
"98" "89fda0284e008d2e0c980fb13f97583c" "1" "1" "0.0769230769230769" "13"
"99" "89fda0284e008d2e0c980fb13f97ae9f" "1" "1" "0.111111111111111" "9"
"100" "89fda0284e008d2e0c980fb13f98f9d5" "2" "1" "0.142857142857143" "7"
"101" "fcd13ae716841026ee760704bb0d92e5" "1" "1" "0.333333333333333" "3"
"102" "89fda0284e008d2e0c980fb13f966281" "37" "7" "0.0769230769230769" "13"
"103" "89fda0284e008d2e0c980fb13f992e2c" "8" "3" "0.111111111111111" "9"
"104" "89fda0284e008d2e0c980fb13f99f651" "1" "1" "0.125" "8"
"105" "89fda0284e008d2e0c980fb13f9a7b0c" "30" "10" "0.0454545454545455" "22"
"106" "89fda0284e008d2e0c980fb13f996b98" "41" "8" "0.05" "20"
"107" "89fda0284e008d2e0c980fb13f9866e8" "30" "8" "0.0526315789473684" "19"
"108" "89fda0284e008d2e0c980fb13f980116" "13" "5" "0.0555555555555556" "18"
"109" "89fda0284e008d2e0c980fb13f987d0e" "5" "1" "0.0666666666666667" "15"
"110" "89fda0284e008d2e0c980fb13f98e475" "7" "2" "0.142857142857143" "7"
"111" "89fda0284e008d2e0c980fb13f9a6d98" "2" "1" "0.25" "4"
"112" "89fda0284e008d2e0c980fb13f94f3f9" "11" "3" "0.2" "5"
"113" "89fda0284e008d2e0c980fb13f96554b" "34" "11" "0.0588235294117647" "17"
"114" "89fda0284e008d2e0c980fb13f999899" "4" "2" "0.125" "8"
"115" "89fda0284e008d2e0c980fb13f95d481" "42" "4" "0.125" "8"
"116" "89fda0284e008d2e0c980fb13f983d38" "20" "8" "0.0588235294117647" "17"
"117" "fcd13ae716841026ee760704bb0d7fee" "0" "0" "0.1" "10"
"118" "89fda0284e008d2e0c980fb13f99fa39" "2" "2" "0.166666666666667" "6"
"119" "89fda0284e008d2e0c980fb13f9b1c77" "25" "9" "0.05" "20"
"120" "89fda0284e008d2e0c980fb13f958239" "33" "13" "0.0476190476190476" "21"
"121" "89fda0284e008d2e0c980fb13f95f2b4" "29" "8" "0.0588235294117647" "17"
"122" "89fda0284e008d2e0c980fb13f95e9b4" "15" "6" "0.0666666666666667" "15"
"123" "89fda0284e008d2e0c980fb13f9b323a" "69" "16" "0.0384615384615385" "26"
"124" "89fda0284e008d2e0c980fb13f99e74b" "26" "5" "0.05" "20"
"125" "89fda0284e008d2e0c980fb13f9b2365" "21" "6" "0.1" "10"
"126" "89fda0284e008d2e0c980fb13f97256b" "7" "3" "0.166666666666667" "6"
"127" "89fda0284e008d2e0c980fb13f967b9f" "2" "2" "0.2" "5"
"128" "89fda0284e008d2e0c980fb13f961f23" "53" "6" "0.0769230769230769" "13"
"129" "89fda0284e008d2e0c980fb13f982710" "8" "3" "0.0714285714285714" "14"
"130" "70c6ba6f55ed21716fe725c214694627" "12" "4" "0.142857142857143" "7"
"131" "89fda0284e008d2e0c980fb13f9b19cd" "6" "2" "0.25" "4"
"132" "89fda0284e008d2e0c980fb13f9a6a78" "10" "3" "0.0909090909090909" "11"
"133" "89fda0284e008d2e0c980fb13f9ac931" "3" "3" "0.125" "8"
"134" "89fda0284e008d2e0c980fb13f958a63" "0" "0" "1" "1"
"135" "89fda0284e008d2e0c980fb13f952278" "38" "7" "0.0909090909090909" "11"
"136" "89fda0284e008d2e0c980fb13f976515" "7" "2" "0.166666666666667" "6"
"137" "fcd13ae716841026ee760704bb0d89b2" "23" "6" "0.0714285714285714" "14"
"138" "89fda0284e008d2e0c980fb13f99c940" "4" "1" "0.125" "8"
"139" "89fda0284e008d2e0c980fb13f97478a" "8" "3" "0.125" "8"
"140" "89fda0284e008d2e0c980fb13f956dab" "2" "1" "0.166666666666667" "6"
"141" "89fda0284e008d2e0c980fb13f98317d" "24" "6" "0.0909090909090909" "11"
"142" "89fda0284e008d2e0c980fb13f95300e" "22" "6" "0.0666666666666667" "15"
"143" "89fda0284e008d2e0c980fb13f992222" "5" "3" "0.0769230769230769" "13"
"144" "89fda0284e008d2e0c980fb13f9a5551" "19" "4" "0.0666666666666667" "15"
"145" "89fda0284e008d2e0c980fb13f985425" "17" "8" "0.0769230769230769" "13"
"146" "89fda0284e008d2e0c980fb13f96c45a" "28" "6" "0.0833333333333333" "12"
"147" "89fda0284e008d2e0c980fb13f976d3e" "24" "6" "0.0909090909090909" "11"
"148" "89fda0284e008d2e0c980fb13f96ef9f" "1" "1" "0.125" "8"
"149" "70c6ba6f55ed21716fe725c214694428" "13" "4" "0.0909090909090909" "11"
"150" "70c6ba6f55ed21716fe725c21469a1e0" "25" "5" "0.111111111111111" "9"
"151" "89fda0284e008d2e0c980fb13f94f406" "18" "3" "0.0909090909090909" "11"
"152" "70c6ba6f55ed21716fe725c21469d627" "13" "2" "0.166666666666667" "6"
"153" "89fda0284e008d2e0c980fb13f98b956" "43" "8" "0.0666666666666667" "15"
"154" "89fda0284e008d2e0c980fb13f980ee3" "0" "0" "0.125" "8"
"155" "89fda0284e008d2e0c980fb13f96f087" "1" "1" "0.166666666666667" "6"
"156" "89fda0284e008d2e0c980fb13f954d49" "12" "2" "0.142857142857143" "7"
"157" "89fda0284e008d2e0c980fb13f992875" "42" "7" "0.0714285714285714" "14"
"158" "89fda0284e008d2e0c980fb13f99fba3" "35" "6" "0.0909090909090909" "11"
"159" "89fda0284e008d2e0c980fb13f9aa5ec" "17" "8" "0.0625" "16"
"160" "89fda0284e008d2e0c980fb13f95bb9f" "13" "5" "0.166666666666667" "6"
"161" "89fda0284e008d2e0c980fb13f987fd5" "3" "2" "0.0909090909090909" "11"
"162" "89fda0284e008d2e0c980fb13f9aee39" "51" "5" "0.111111111111111" "9"
"163" "89fda0284e008d2e0c980fb13f979bb8" "8" "2" "0.2" "5"
"164" "89fda0284e008d2e0c980fb13f9597bc" "22" "5" "0.142857142857143" "7"
"165" "89fda0284e008d2e0c980fb13f9a88cd" "15" "4" "0.0909090909090909" "11"
"166" "89fda0284e008d2e0c980fb13f97540b" "0" "0" "0.333333333333333" "3"
"167" "89fda0284e008d2e0c980fb13f97fc0a" "23" "3" "0.142857142857143" "7"
"168" "89fda0284e008d2e0c980fb13f99f90d" "9" "5" "0.111111111111111" "9"
"169" "89fda0284e008d2e0c980fb13f9a68f3" "9" "2" "0.0909090909090909" "11"
"170" "89fda0284e008d2e0c980fb13f98ed57" "49" "11" "0.0588235294117647" "17"
"171" "89fda0284e008d2e0c980fb13f998a68" "3" "2" "0.0666666666666667" "15"
"172" "89fda0284e008d2e0c980fb13f94d6ef" "19" "7" "0.0666666666666667" "15"
"173" "89fda0284e008d2e0c980fb13f9ab9a8" "6" "5" "0.166666666666667" "6"
"174" "89fda0284e008d2e0c980fb13f958016" "13" "3" "0.2" "5"
"175" "70c6ba6f55ed21716fe725c21469ace7" "4" "1" "0.1" "10"
"176" "89fda0284e008d2e0c980fb13f98d506" "39" "8" "0.0625" "16"
"177" "89fda0284e008d2e0c980fb13f9692b3" "17" "4" "0.0769230769230769" "13"
"178" "89fda0284e008d2e0c980fb13f95ad0e" "0" "0" "0.5" "2"
"179" "89fda0284e008d2e0c980fb13f95dbc7" "4" "2" "0.142857142857143" "7"
"180" "89fda0284e008d2e0c980fb13f98d9d7" "21" "4" "0.111111111111111" "9"
"181" "89fda0284e008d2e0c980fb13f98c6e0" "2" "2" "0.142857142857143" "7"
"182" "89fda0284e008d2e0c980fb13f98af77" "61" "10" "0.0666666666666667" "15"
"183" "89fda0284e008d2e0c980fb13f95205a" "19" "5" "0.125" "8"
"184" "89fda0284e008d2e0c980fb13f97031c" "9" "1" "0.5" "2"
"185" "89fda0284e008d2e0c980fb13f95623e" "24" "9" "0.0909090909090909" "11"
"186" "89fda0284e008d2e0c980fb13f976b14" "0" "0" "0.142857142857143" "7"
"187" "89fda0284e008d2e0c980fb13f96114d" "0" "0" "0.2" "5"
"188" "89fda0284e008d2e0c980fb13f95a0fb" "4" "1" "0.25" "4"
"189" "89fda0284e008d2e0c980fb13f9a9d0f" "0" "0" "0.5" "2"
"190" "89fda0284e008d2e0c980fb13f98abea" "30" "9" "0.0526315789473684" "19"
"191" "89fda0284e008d2e0c980fb13f98a6d5" "23" "7" "0.0625" "16"
"192" "89fda0284e008d2e0c980fb13f96a8a3" "1" "1" "0.142857142857143" "7"
"193" "89fda0284e008d2e0c980fb13f990df9" "0" "0" "1" "1"
"194" "fcd13ae716841026ee760704bb0d7ba4" "6" "1" "0.333333333333333" "3"
"195" "89fda0284e008d2e0c980fb13f993d70" "1" "1" "1" "1"
"196" "89fda0284e008d2e0c980fb13f96cf64" "0" "0" "0.5" "2"
"197" "89fda0284e008d2e0c980fb13f9849f8" "4" "1" "0.25" "4"
"198" "89fda0284e008d2e0c980fb13f96bd60" "0" "0" "1" "1"
"199" "89fda0284e008d2e0c980fb13f9ab153" "8" "1" "1" "1"
"200" "89fda0284e008d2e0c980fb13f955cb1" "4" "1" "0.2" "5"
"201" "89fda0284e008d2e0c980fb13f950883" "0" "0" "0.25" "4"
"202" "89fda0284e008d2e0c980fb13f9ae796" "23" "8" "0.0833333333333333" "12"
"203" "89fda0284e008d2e0c980fb13f9b3322" "56" "6" "0.142857142857143" "7"
"204" "89fda0284e008d2e0c980fb13f997d88" "18" "3" "0.125" "8"
"205" "89fda0284e008d2e0c980fb13f94e6b6" "5" "1" "0.142857142857143" "7"
"206" "89fda0284e008d2e0c980fb13f9a4d8a" "45" "9" "0.0666666666666667" "15"
"207" "70c6ba6f55ed21716fe725c2146982df" "29" "6" "0.166666666666667" "6"
"208" "89fda0284e008d2e0c980fb13f9a0d1f" "0" "0" "0.333333333333333" "3"
"209" "89fda0284e008d2e0c980fb13f97cb4f" "0" "0" "0.25" "4"
"210" "89fda0284e008d2e0c980fb13f96a690" "1" "1" "0.5" "2"
"211" "70c6ba6f55ed21716fe725c214691571" "4" "3" "0.2" "5"
"212" "89fda0284e008d2e0c980fb13f96fddb" "1" "1" "0.25" "4"
"213" "fb6e0b19cbe3ef683a10c4c47669d46d" "7" "1" "1" "1"
"214" "70c6ba6f55ed21716fe725c2146972eb" "7" "3" "0.2" "5"
"215" "89fda0284e008d2e0c980fb13f9b1ab6" "8" "4" "0.142857142857143" "7"
"216" "89fda0284e008d2e0c980fb13f9b05d4" "14" "2" "0.5" "2"
"217" "89fda0284e008d2e0c980fb13f95cb81" "5" "1" "0.5" "2"
"218" "89fda0284e008d2e0c980fb13f9a2e6b" "17" "6" "0.125" "8"
"219" "89fda0284e008d2e0c980fb13f9859d8" "2" "1" "0.333333333333333" "3"
"220" "89fda0284e008d2e0c980fb13f97710a" "3" "1" "0.5" "2"
"221" "89fda0284e008d2e0c980fb13f96de63" "3" "2" "0.166666666666667" "6"
"222" "fb6e0b19cbe3ef683a10c4c47669d0ce" "1" "1" "0.2" "5"
"223" "fb6e0b19cbe3ef683a10c4c47669bc70" "0" "0" "0.5" "2"
"224" "89fda0284e008d2e0c980fb13f959c0a" "6" "1" "0.25" "4"
"225" "89fda0284e008d2e0c980fb13f9a06a3" "0" "0" "0.5" "2"
"226" "89fda0284e008d2e0c980fb13f9a1c42" "1" "1" "0.25" "4"
"227" "89fda0284e008d2e0c980fb13f9a052b" "0" "0" "1" "1"
"228" "89fda0284e008d2e0c980fb13f98fd43" "1" "1" "0.5" "2"
