"chw" "aggregate_count" "aggregate_percent" "chw2" "total_count" "total_percent"
"1" "89fda0284e008d2e0c980fb13f9917a0" 12 0.0195758564437194 "89fda0284e008d2e0c980fb13f9917a0" 3 0.0410958904109589
"2" "89fda0284e008d2e0c980fb13f96807a" 20 0.032626427406199 "89fda0284e008d2e0c980fb13f96807a" 4 0.0547945205479452
"3" "89fda0284e008d2e0c980fb13f953df5" 31 0.0765432098765432 "89fda0284e008d2e0c980fb13f953df5" 1 0.0136986301369863
"4" "89fda0284e008d2e0c980fb13f9b3f75" 6 0.00978792822185971 "89fda0284e008d2e0c980fb13f9b3f75" 0 0
"5" "89fda0284e008d2e0c980fb13f957a1e" 30 0.0744416873449131 "89fda0284e008d2e0c980fb13f957a1e" 2 0.0273972602739726
"6" "89fda0284e008d2e0c980fb13f9ad330" 2 0.00493827160493827 "89fda0284e008d2e0c980fb13f9ad330" 0 0
"7" "89fda0284e008d2e0c980fb13f97e56a" 41 0.066884176182708 "89fda0284e008d2e0c980fb13f97e56a" 5 0.0684931506849315
"8" "89fda0284e008d2e0c980fb13f94e5b7" 20 0.0325732899022801 "89fda0284e008d2e0c980fb13f94e5b7" 3 0.0410958904109589
"9" "89fda0284e008d2e0c980fb13f99f8e5" 16 0.0261011419249592 "89fda0284e008d2e0c980fb13f99f8e5" 0 0
"10" "89fda0284e008d2e0c980fb13f97eeaa" 45 0.0734094616639478 "89fda0284e008d2e0c980fb13f97eeaa" 16 0.219178082191781
"11" "89fda0284e008d2e0c980fb13f97850c" 32 0.0522875816993464 "89fda0284e008d2e0c980fb13f97850c" 5 0.0684931506849315
"12" "89fda0284e008d2e0c980fb13f99a592" 5 0.0103734439834025 "89fda0284e008d2e0c980fb13f99a592" 1 0.0136986301369863
"13" "89fda0284e008d2e0c980fb13f989136" 34 0.0817307692307692 "89fda0284e008d2e0c980fb13f989136" 4 0.0547945205479452
"14" "89fda0284e008d2e0c980fb13f97dff4" 27 0.0441176470588235 "89fda0284e008d2e0c980fb13f97dff4" 5 0.0684931506849315
"15" "89fda0284e008d2e0c980fb13f97722c" 15 0.0372208436724566 "89fda0284e008d2e0c980fb13f97722c" 3 0.0410958904109589
"16" "89fda0284e008d2e0c980fb13f969126" 27 0.0568421052631579 "89fda0284e008d2e0c980fb13f969126" 3 0.0410958904109589
"17" "89fda0284e008d2e0c980fb13f950d25" 1 0.00210084033613445 "89fda0284e008d2e0c980fb13f950d25" 0 0
"18" "89fda0284e008d2e0c980fb13f960ab3" 13 0.0238095238095238 "89fda0284e008d2e0c980fb13f960ab3" 1 0.0136986301369863
"19" "89fda0284e008d2e0c980fb13f9509fd" 2 0.0032626427406199 "89fda0284e008d2e0c980fb13f9509fd" 0 0
"20" "89fda0284e008d2e0c980fb13f995be3" 12 0.0297029702970297 "89fda0284e008d2e0c980fb13f995be3" 2 0.0273972602739726
"21" "89fda0284e008d2e0c980fb13f9a7b0c" 26 0.0424143556280587 "89fda0284e008d2e0c980fb13f9a7b0c" 3 0.0410958904109589
"22" "89fda0284e008d2e0c980fb13f955485" 35 0.0726141078838174 "89fda0284e008d2e0c980fb13f955485" 2 0.0273972602739726
"23" "89fda0284e008d2e0c980fb13f9992a6" 18 0.0293637846655791 "89fda0284e008d2e0c980fb13f9992a6" 1 0.0136986301369863
"24" "89fda0284e008d2e0c980fb13f97cef7" 25 0.0457038391224863 "89fda0284e008d2e0c980fb13f97cef7" 4 0.0547945205479452
"25" "70c6ba6f55ed21716fe725c21469fe3b" 15 0.0244698205546493 "70c6ba6f55ed21716fe725c21469fe3b" 1 0.0136986301369863
"26" "89fda0284e008d2e0c980fb13f99b52b" 1 0.0029940119760479 "89fda0284e008d2e0c980fb13f99b52b" 0 0
"27" "89fda0284e008d2e0c980fb13f973bdc" 3 0.00900900900900901 "89fda0284e008d2e0c980fb13f973bdc" 0 0
"28" "89fda0284e008d2e0c980fb13f97bdf2" 0 0 "89fda0284e008d2e0c980fb13f97bdf2" 0 0
"29" "89fda0284e008d2e0c980fb13f95b755" 8 0.0130505709624796 "89fda0284e008d2e0c980fb13f95b755" 1 0.0136986301369863
"30" "89fda0284e008d2e0c980fb13f99a86d" 26 0.0424143556280587 "89fda0284e008d2e0c980fb13f99a86d" 3 0.0410958904109589
"31" "89fda0284e008d2e0c980fb13f978578" 0 0 "89fda0284e008d2e0c980fb13f978578" 0 0
"32" "89fda0284e008d2e0c980fb13f9735c8" 3 0.00548446069469835 "89fda0284e008d2e0c980fb13f9735c8" 0 0
"33" "89fda0284e008d2e0c980fb13f966e31" 11 0.0179445350734095 "89fda0284e008d2e0c980fb13f966e31" 0 0
"34" "89fda0284e008d2e0c980fb13f980ee3" 0 0 "89fda0284e008d2e0c980fb13f980ee3" 0 0
"35" "70c6ba6f55ed21716fe725c2146966b6" 0 0 "70c6ba6f55ed21716fe725c2146966b6" 0 0
"36" "89fda0284e008d2e0c980fb13f9b0cfa" 10 0.0210084033613445 "89fda0284e008d2e0c980fb13f9b0cfa" 0 0
"37" "89fda0284e008d2e0c980fb13f94d6ef" 9 0.0164533820840951 "89fda0284e008d2e0c980fb13f94d6ef" 1 0.0136986301369863
"38" "89fda0284e008d2e0c980fb13f9ac931" 10 0.0210084033613445 "89fda0284e008d2e0c980fb13f9ac931" 0 0
"39" "89fda0284e008d2e0c980fb13f9a51a9" 20 0.0415800415800416 "89fda0284e008d2e0c980fb13f9a51a9" 2 0.0273972602739726
"40" "89fda0284e008d2e0c980fb13f97a0ca" 2 0.00495049504950495 "89fda0284e008d2e0c980fb13f97a0ca" 0 0
"41" "89fda0284e008d2e0c980fb13f96372c" 24 0.0509554140127389 "89fda0284e008d2e0c980fb13f96372c" 4 0.0547945205479452
"42" "89fda0284e008d2e0c980fb13f9628e2" 63 0.115384615384615 "89fda0284e008d2e0c980fb13f9628e2" 1 0.0136986301369863
"43" "89fda0284e008d2e0c980fb13f978e69" 4 0.0152091254752852 "89fda0284e008d2e0c980fb13f978e69" 0 0
"44" "89fda0284e008d2e0c980fb13f979609" 27 0.0440456769983687 "89fda0284e008d2e0c980fb13f979609" 4 0.0547945205479452
"45" "89fda0284e008d2e0c980fb13f9899b3" 4 0.0152671755725191 "89fda0284e008d2e0c980fb13f9899b3" 0 0
"46" "89fda0284e008d2e0c980fb13f960194" 5 0.00816993464052288 "89fda0284e008d2e0c980fb13f960194" 1 0.0136986301369863
"47" "89fda0284e008d2e0c980fb13f9528e1" 5 0.00914076782449726 "89fda0284e008d2e0c980fb13f9528e1" 0 0
"48" "89fda0284e008d2e0c980fb13f9a94f7" 7 0.0114192495921697 "89fda0284e008d2e0c980fb13f9a94f7" 0 0
"49" "89fda0284e008d2e0c980fb13f98872f" 33 0.0609981515711645 "89fda0284e008d2e0c980fb13f98872f" 2 0.0273972602739726
"50" "89fda0284e008d2e0c980fb13f9b5439" 3 0.00549450549450549 "89fda0284e008d2e0c980fb13f9b5439" 0 0
"51" "89fda0284e008d2e0c980fb13f98311d" 2 0.00593471810089021 "89fda0284e008d2e0c980fb13f98311d" 1 0.0136986301369863
"52" "89fda0284e008d2e0c980fb13f9a3e49" 5 0.0103950103950104 "89fda0284e008d2e0c980fb13f9a3e49" 0 0
"53" "89fda0284e008d2e0c980fb13f999899" 2 0.00420168067226891 "89fda0284e008d2e0c980fb13f999899" 0 0
