"chw" "aggregate_count" "aggregate_percent" "total_count" "total_percent"
"1" "89fda0284e008d2e0c980fb13f957a1e" 58 0.114624505928854 2 0.0273972602739726
"2" "89fda0284e008d2e0c980fb13f9ad330" 0 0 0 0
"3" "89fda0284e008d2e0c980fb13f97e56a" 49 0.0462264150943396 5 0.0684931506849315
"4" "89fda0284e008d2e0c980fb13f97bdf2" 0 0 0 0
"5" "89fda0284e008d2e0c980fb13f9a3e49" 10 0.0177304964539007 0 0
"6" "89fda0284e008d2e0c980fb13f95b755" 17 0.0161137440758294 1 0.0136986301369863
"7" "89fda0284e008d2e0c980fb13f9528e1" 19 0.0260989010989011 0 0
"8" "89fda0284e008d2e0c980fb13f94e5b7" 22 0.018819503849444 3 0.0410958904109589
"9" "89fda0284e008d2e0c980fb13f97cef7" 45 0.0390964378801043 4 0.0547945205479452
"10" "89fda0284e008d2e0c980fb13f950d25" 6 0.012448132780083 0 0
"11" "89fda0284e008d2e0c980fb13f97a0ca" 3 0.00467289719626168 0 0
"12" "89fda0284e008d2e0c980fb13f9ad888" 5 0.00771604938271605 0 0
"13" "70c6ba6f55ed21716fe725c21469c91d" 7 0.0147991543340381 1 0.0136986301369863
"14" "89fda0284e008d2e0c980fb13f979609" 34 0.0351602895553257 4 0.0547945205479452
"15" "89fda0284e008d2e0c980fb13f951435" 8 0.00808897876643074 0 0
"16" "89fda0284e008d2e0c980fb13f9b5305" 18 0.124137931034483 1 0.0136986301369863
"17" "70c6ba6f55ed21716fe725c21469e6ed" 6 0.0093603744149766 0 0
"18" "89fda0284e008d2e0c980fb13f97722c" 25 0.0414593698175788 3 0.0410958904109589
"19" "89fda0284e008d2e0c980fb13f99a86d" 42 0.0336808340016038 3 0.0410958904109589
"20" "89fda0284e008d2e0c980fb13f99a592" 15 0.0235109717868339 1 0.0136986301369863
"21" "70c6ba6f55ed21716fe725c21469fe3b" 21 0.0178723404255319 1 0.0136986301369863
"22" "89fda0284e008d2e0c980fb13f9a94f7" 21 0.0245614035087719 0 0
"23" "89fda0284e008d2e0c980fb13f98872f" 41 0.0341951626355296 2 0.0273972602739726
"24" "89fda0284e008d2e0c980fb13f99a47e" 3 0.00596421471172962 0 0
"25" "89fda0284e008d2e0c980fb13f981bae" 1 0.00185873605947955 0 0
"26" "89fda0284e008d2e0c980fb13f97eeaa" 39 0.0291697830964847 16 0.219178082191781
"27" "89fda0284e008d2e0c980fb13f9b1273" 26 0.0439932318104907 1 0.0136986301369863
"28" "89fda0284e008d2e0c980fb13f9b0cfa" 18 0.0346820809248555 0 0
"29" "89fda0284e008d2e0c980fb13f99f8e5" 27 0.0208172706245181 0 0
"30" "89fda0284e008d2e0c980fb13f97850c" 56 0.0416666666666667 5 0.0684931506849315
"31" "89fda0284e008d2e0c980fb13f973bdc" 9 0.0220588235294118 0 0
"32" "89fda0284e008d2e0c980fb13f96372c" 45 0.0429389312977099 4 0.0547945205479452
"33" "89fda0284e008d2e0c980fb13f98311d" 8 0.0318725099601594 1 0.0136986301369863
"34" "89fda0284e008d2e0c980fb13f964e6a" 28 0.0251121076233184 2 0.0273972602739726
"35" "89fda0284e008d2e0c980fb13f983809" 17 0.0255639097744361 1 0.0136986301369863
"36" "89fda0284e008d2e0c980fb13f9917a0" 25 0.0220264317180617 3 0.0410958904109589
"37" "89fda0284e008d2e0c980fb13f9900d3" 4 0.0207253886010363 0 0
"38" "89fda0284e008d2e0c980fb13f995be3" 20 0.0273224043715847 2 0.0273972602739726
"39" "89fda0284e008d2e0c980fb13f960ab3" 26 0.0324189526184539 1 0.0136986301369863
"40" "89fda0284e008d2e0c980fb13f9b46eb" 15 0.0120967741935484 3 0.0410958904109589
"41" "89fda0284e008d2e0c980fb13f94fae5" 33 0.0532258064516129 1 0.0136986301369863
