"c" "over_count" "over_ratio" "nweeks_reporting"
"1" "89fda0284e008d2e0c980fb13f957a1e" "58" "0.114624505928854" "506"
"2" "89fda0284e008d2e0c980fb13f9ad330" "0" "0" "357"
"3" "89fda0284e008d2e0c980fb13f97e56a" "49" "0.0462264150943396" "1060"
"4" "89fda0284e008d2e0c980fb13f97bdf2" "0" "0" "315"
"5" "89fda0284e008d2e0c980fb13f9a3e49" "10" "0.0177304964539007" "564"
"6" "89fda0284e008d2e0c980fb13f95b755" "17" "0.0161137440758294" "1055"
"7" "89fda0284e008d2e0c980fb13f9528e1" "19" "0.0260989010989011" "728"
"8" "89fda0284e008d2e0c980fb13f94e5b7" "22" "0.018819503849444" "1169"
"9" "89fda0284e008d2e0c980fb13f97cef7" "45" "0.0390964378801043" "1151"
"10" "89fda0284e008d2e0c980fb13f950d25" "6" "0.012448132780083" "482"
"11" "89fda0284e008d2e0c980fb13f97a0ca" "3" "0.00467289719626168" "642"
"12" "89fda0284e008d2e0c980fb13f9ad888" "5" "0.00771604938271605" "648"
"13" "70c6ba6f55ed21716fe725c21469c91d" "7" "0.0147991543340381" "473"
"14" "89fda0284e008d2e0c980fb13f979609" "34" "0.0351602895553257" "967"
"15" "89fda0284e008d2e0c980fb13f951435" "8" "0.00808897876643074" "989"
"16" "89fda0284e008d2e0c980fb13f9b5305" "18" "0.124137931034483" "145"
"17" "70c6ba6f55ed21716fe725c21469e6ed" "6" "0.0093603744149766" "641"
"18" "89fda0284e008d2e0c980fb13f97722c" "25" "0.0414593698175788" "603"
"19" "89fda0284e008d2e0c980fb13f99a86d" "42" "0.0336808340016038" "1247"
"20" "89fda0284e008d2e0c980fb13f99a592" "15" "0.0235109717868339" "638"
"21" "70c6ba6f55ed21716fe725c21469fe3b" "21" "0.0178723404255319" "1175"
"22" "89fda0284e008d2e0c980fb13f9a94f7" "21" "0.0245614035087719" "855"
"23" "89fda0284e008d2e0c980fb13f98872f" "41" "0.0341951626355296" "1199"
"24" "89fda0284e008d2e0c980fb13f99a47e" "3" "0.00596421471172962" "503"
"25" "89fda0284e008d2e0c980fb13f981bae" "1" "0.00185873605947955" "538"
"26" "89fda0284e008d2e0c980fb13f97eeaa" "39" "0.0291697830964847" "1337"
"27" "89fda0284e008d2e0c980fb13f9b1273" "26" "0.0439932318104907" "591"
"28" "89fda0284e008d2e0c980fb13f9b0cfa" "18" "0.0346820809248555" "519"
"29" "89fda0284e008d2e0c980fb13f99f8e5" "27" "0.0208172706245181" "1297"
"30" "89fda0284e008d2e0c980fb13f97850c" "56" "0.0416666666666667" "1344"
