"c" "over_count" "over_months" "over_ratio" "nmonths_reporting"
"74" "89fda0284e008d2e0c980fb13f970c18" "27" "6" "0.142857142857143" "7"
"75" "89fda0284e008d2e0c980fb13f992e2c" "11" "4" "0.125" "8"
"76" "89fda0284e008d2e0c980fb13f99f651" "0" "0" "0.142857142857143" "7"
"77" "70c6ba6f55ed21716fe725c21469e6ed" "5" "2" "0.111111111111111" "9"
"78" "89fda0284e008d2e0c980fb13f996b98" "36" "5" "0.111111111111111" "9"
"79" "89fda0284e008d2e0c980fb13f95dbc7" "2" "1" "0.142857142857143" "7"
"80" "89fda0284e008d2e0c980fb13f95477d" "6" "5" "0.125" "8"
"81" "89fda0284e008d2e0c980fb13f99886e" "4" "3" "0.2" "5"
"82" "89fda0284e008d2e0c980fb13f978216" "16" "5" "0.125" "8"
"83" "89fda0284e008d2e0c980fb13f964b7e" "17" "6" "0.111111111111111" "9"
"84" "89fda0284e008d2e0c980fb13f9ad888" "6" "3" "0.142857142857143" "7"
"85" "89fda0284e008d2e0c980fb13f9623b3" "3" "3" "0.111111111111111" "9"
"86" "89fda0284e008d2e0c980fb13f968eb0" "16" "6" "0.111111111111111" "9"
"87" "89fda0284e008d2e0c980fb13f98e475" "6" "2" "0.25" "4"
"88" "89fda0284e008d2e0c980fb13f950688" "6" "2" "0.125" "8"
"89" "89fda0284e008d2e0c980fb13f98736b" "7" "3" "0.111111111111111" "9"
"90" "89fda0284e008d2e0c980fb13f9b46eb" "18" "4" "0.125" "8"
"91" "89fda0284e008d2e0c980fb13f94fae5" "19" "3" "0.142857142857143" "7"
"92" "70c6ba6f55ed21716fe725c21469c91d" "4" "2" "0.142857142857143" "7"
"93" "89fda0284e008d2e0c980fb13f97cb4f" "1" "1" "0.2" "5"
"94" "89fda0284e008d2e0c980fb13f956dab" "5" "2" "0.166666666666667" "6"
"95" "89fda0284e008d2e0c980fb13f99d8c6" "6" "3" "0.125" "8"
"96" "89fda0284e008d2e0c980fb13f9b5305" "16" "2" "0.333333333333333" "3"
"97" "89fda0284e008d2e0c980fb13f94f3f9" "3" "1" "0.166666666666667" "6"
"98" "89fda0284e008d2e0c980fb13f97b53a" "1" "1" "0.2" "5"
"99" "89fda0284e008d2e0c980fb13f96554b" "15" "6" "0.111111111111111" "9"
"100" "89fda0284e008d2e0c980fb13f99a3ad" "14" "5" "0.125" "8"
"101" "89fda0284e008d2e0c980fb13f980116" "13" "5" "0.125" "8"
"102" "89fda0284e008d2e0c980fb13f994cf8" "16" "5" "0.111111111111111" "9"
"103" "89fda0284e008d2e0c980fb13f9b1273" "13" "4" "0.125" "8"
"104" "89fda0284e008d2e0c980fb13f985a55" "0" "0" "0.142857142857143" "7"
"105" "89fda0284e008d2e0c980fb13f970282" "9" "2" "0.2" "5"
"106" "89fda0284e008d2e0c980fb13f98fe2e" "2" "1" "0.2" "5"
"107" "89fda0284e008d2e0c980fb13f9978cb" "9" "4" "0.2" "5"
"108" "89fda0284e008d2e0c980fb13f972945" "8" "2" "0.2" "5"
"109" "89fda0284e008d2e0c980fb13f9a6042" "14" "4" "0.125" "8"
"110" "89fda0284e008d2e0c980fb13f96e561" "0" "0" "0.2" "5"
"111" "89fda0284e008d2e0c980fb13f975e5c" "4" "2" "0.166666666666667" "6"
"112" "89fda0284e008d2e0c980fb13f97bafa" "11" "4" "0.111111111111111" "9"
"113" "89fda0284e008d2e0c980fb13f95f7a6" "27" "5" "0.111111111111111" "9"
"114" "89fda0284e008d2e0c980fb13f95d481" "25" "1" "0.2" "5"
"115" "89fda0284e008d2e0c980fb13f9ab9a8" "4" "3" "0.2" "5"
"116" "89fda0284e008d2e0c980fb13f958239" "20" "7" "0.125" "8"
"117" "89fda0284e008d2e0c980fb13f9b323a" "41" "7" "0.125" "8"
"118" "89fda0284e008d2e0c980fb13f992875" "33" "4" "0.142857142857143" "7"
"119" "89fda0284e008d2e0c980fb13f983d38" "12" "5" "0.125" "8"
"120" "89fda0284e008d2e0c980fb13f95f2b4" "17" "5" "0.142857142857143" "7"
"121" "89fda0284e008d2e0c980fb13f95e9b4" "7" "5" "0.142857142857143" "7"
"122" "70c6ba6f55ed21716fe725c2146903eb" "14" "1" "0.5" "2"
"123" "89fda0284e008d2e0c980fb13f99e74b" "18" "3" "0.125" "8"
"124" "89fda0284e008d2e0c980fb13f9b2365" "8" "5" "0.166666666666667" "6"
"125" "89fda0284e008d2e0c980fb13f97583c" "4" "3" "0.2" "5"
"126" "fcd13ae716841026ee760704bb0d89b2" "32" "4" "0.166666666666667" "6"
"127" "89fda0284e008d2e0c980fb13f99fba3" "9" "5" "0.166666666666667" "6"
"128" "89fda0284e008d2e0c980fb13f97d834" "18" "2" "0.142857142857143" "7"
"129" "89fda0284e008d2e0c980fb13f961f23" "24" "6" "0.125" "8"
"130" "89fda0284e008d2e0c980fb13f99fa39" "0" "0" "0.25" "4"
"131" "89fda0284e008d2e0c980fb13f9b1ab6" "16" "5" "0.2" "5"
"132" "89fda0284e008d2e0c980fb13f95bb9f" "4" "2" "0.166666666666667" "6"
"133" "89fda0284e008d2e0c980fb13f97256b" "9" "2" "0.2" "5"
"134" "89fda0284e008d2e0c980fb13f9aee39" "23" "5" "0.166666666666667" "6"
"135" "89fda0284e008d2e0c980fb13f987fd5" "1" "1" "0.166666666666667" "6"
"136" "89fda0284e008d2e0c980fb13f95cb81" "4" "1" "0.333333333333333" "3"
"137" "89fda0284e008d2e0c980fb13f958a63" "0" "0" "1" "1"
"138" "fcd13ae716841026ee760704bb0d7fee" "3" "2" "0.2" "5"
"139" "89fda0284e008d2e0c980fb13f982710" "11" "7" "0.125" "8"
"140" "89fda0284e008d2e0c980fb13f95300e" "7" "2" "0.142857142857143" "7"
"141" "89fda0284e008d2e0c980fb13f9a5551" "5" "4" "0.125" "8"
"142" "89fda0284e008d2e0c980fb13f96ef9f" "5" "3" "0.166666666666667" "6"
"143" "89fda0284e008d2e0c980fb13f979bb8" "4" "1" "0.2" "5"
"144" "89fda0284e008d2e0c980fb13f9597bc" "23" "3" "0.166666666666667" "6"
"145" "89fda0284e008d2e0c980fb13f967b9f" "1" "1" "0.25" "4"
"146" "89fda0284e008d2e0c980fb13f9a6d98" "0" "0" "0.333333333333333" "3"
"147" "89fda0284e008d2e0c980fb13f9aa5ec" "5" "3" "0.142857142857143" "7"
"148" "89fda0284e008d2e0c980fb13f997d88" "9" "3" "0.166666666666667" "6"
"149" "70c6ba6f55ed21716fe725c214692ffd" "6" "2" "0.2" "5"
"150" "89fda0284e008d2e0c980fb13f992222" "7" "2" "0.125" "8"
"151" "89fda0284e008d2e0c980fb13f99c940" "2" "1" "0.2" "5"
"152" "89fda0284e008d2e0c980fb13f987d0e" "7" "4" "0.125" "8"
"153" "89fda0284e008d2e0c980fb13f976d3e" "11" "2" "0.25" "4"
"154" "70c6ba6f55ed21716fe725c214694428" "5" "3" "0.142857142857143" "7"
"155" "70c6ba6f55ed21716fe725c21469a1e0" "8" "4" "0.142857142857143" "7"
"156" "70c6ba6f55ed21716fe725c214694627" "7" "2" "0.2" "5"
"157" "89fda0284e008d2e0c980fb13f9b19cd" "2" "1" "0.333333333333333" "3"
"158" "89fda0284e008d2e0c980fb13f94f406" "7" "2" "0.125" "8"
"159" "89fda0284e008d2e0c980fb13f9a6a78" "9" "2" "0.166666666666667" "6"
"160" "89fda0284e008d2e0c980fb13f97478a" "15" "2" "0.166666666666667" "6"
"161" "70c6ba6f55ed21716fe725c21469d627" "4" "2" "0.166666666666667" "6"
"162" "89fda0284e008d2e0c980fb13f950883" "0" "0" "0.2" "5"
"163" "89fda0284e008d2e0c980fb13f952278" "29" "3" "0.166666666666667" "6"
"164" "89fda0284e008d2e0c980fb13f9b1c77" "16" "6" "0.125" "8"
"165" "89fda0284e008d2e0c980fb13f976515" "3" "1" "0.25" "4"
"166" "89fda0284e008d2e0c980fb13f98317d" "27" "5" "0.125" "8"
"167" "89fda0284e008d2e0c980fb13f98b956" "25" "4" "0.142857142857143" "7"
"168" "89fda0284e008d2e0c980fb13f97540b" "0" "0" "0.333333333333333" "3"
"169" "89fda0284e008d2e0c980fb13f9866e8" "16" "4" "0.125" "8"
"170" "89fda0284e008d2e0c980fb13f96f087" "1" "1" "0.2" "5"
"171" "89fda0284e008d2e0c980fb13f97ae9f" "2" "2" "0.166666666666667" "6"
"172" "89fda0284e008d2e0c980fb13f985425" "7" "3" "0.142857142857143" "7"
"173" "89fda0284e008d2e0c980fb13f96c45a" "9" "3" "0.142857142857143" "7"
"174" "89fda0284e008d2e0c980fb13f954d49" "4" "1" "0.25" "4"
"175" "89fda0284e008d2e0c980fb13f976b14" "0" "0" "0.142857142857143" "7"
"176" "89fda0284e008d2e0c980fb13f97fc0a" "20" "3" "0.166666666666667" "6"
