"chw" "cumulative" "total"
"1" "70c6ba6f55ed21716fe725c2146903eb" 174.800949625434 335.335752665375
"2" "70c6ba6f55ed21716fe725c214691571" 108.313733826863 64.0844692261686
"3" "70c6ba6f55ed21716fe725c214692ffd" 200.912645022502 128.228003940469
"4" "70c6ba6f55ed21716fe725c214694428" 265.661386806606 45.8164922453085
"5" "70c6ba6f55ed21716fe725c214694627" 228.016735856841 72.4755778995626
"6" "70c6ba6f55ed21716fe725c2146966b6" 73.135308720697 45.801949802416
"7" "70c6ba6f55ed21716fe725c2146972eb" 140.614762528009 51.224974757774
"8" "70c6ba6f55ed21716fe725c2146982df" 303.691324667676 288.680440993301
"9" "70c6ba6f55ed21716fe725c21469a1e0" 279.498601183683 86.9596128678822
"10" "70c6ba6f55ed21716fe725c21469ace7" 180.511976660386 115.969018125948
"11" "70c6ba6f55ed21716fe725c21469c91d" 188.917288972074 117.389405924532
"12" "70c6ba6f55ed21716fe725c21469d627" 224.357493711332 69.7790576592472
"13" "70c6ba6f55ed21716fe725c21469e6ed" 297.157794698684 107.400564595168
"14" "70c6ba6f55ed21716fe725c21469fe3b" 722.350014541718 410.064649148517
"15" "89fda0284e008d2e0c980fb13f94d6ef" 379.271631317244 168.834654063503
"16" "89fda0284e008d2e0c980fb13f94e5b7" 1906.35514906614 1308.34547341046
"17" "89fda0284e008d2e0c980fb13f94e6b6" 119.16659909101 97.1408338984629
"18" "89fda0284e008d2e0c980fb13f94f3f9" 183.8569409223 130.153562665575
"19" "89fda0284e008d2e0c980fb13f94f406" 378.346311074589 61.3581909197473
"20" "89fda0284e008d2e0c980fb13f94fae5" 448.224027779777 223.79629009167
"21" "89fda0284e008d2e0c980fb13f950688" 235.937020834017 63.7243113867076
"22" "89fda0284e008d2e0c980fb13f950883" 79.4016847867334 57.0963831003129
"23" "89fda0284e008d2e0c980fb13f9509fd" 264.166428697889 47.7527458586399
"24" "89fda0284e008d2e0c980fb13f950d25" 263.980015584036 48.6562184865371
"25" "89fda0284e008d2e0c980fb13f951435" 424.92732793087 160.630996041801
"26" "89fda0284e008d2e0c980fb13f95205a" 289.579665670992 101.638093040948
"27" "89fda0284e008d2e0c980fb13f952278" 607.649227058531 218.672526578129
"28" "89fda0284e008d2e0c980fb13f9528e1" 406.375815846831 113.468620138715
"29" "89fda0284e008d2e0c980fb13f95300e" 451.997499679379 108.104947078105
"30" "89fda0284e008d2e0c980fb13f953df5" 925.1620683559 154.20780547429
"31" "89fda0284e008d2e0c980fb13f95477d" 386.311179610422 115.651967937312
"32" "89fda0284e008d2e0c980fb13f954d49" 253.714778887362 142.725985630902
"33" "89fda0284e008d2e0c980fb13f955485" 724.383769385407 233.904992726629
"34" "89fda0284e008d2e0c980fb13f955cb1" 137.537903569288 45.1945103022663
"35" "89fda0284e008d2e0c980fb13f95623e" 416.851516554268 170.471145506788
"36" "89fda0284e008d2e0c980fb13f956856" 237.011126742018 57.760816822365
