"chw" "aggregate_count" "aggregate_percent" "chw2" "total_count" "total_percent"
"47" "89fda0284e008d2e0c980fb13f9528e1" 11 0.020109689213894 "89fda0284e008d2e0c980fb13f9528e1" 0 0
"48" "89fda0284e008d2e0c980fb13f9a94f7" 5 0.00815660685154975 "89fda0284e008d2e0c980fb13f9a94f7" 0 0
"49" "89fda0284e008d2e0c980fb13f98872f" 37 0.0683918669131238 "89fda0284e008d2e0c980fb13f98872f" 2 0.0273972602739726
"50" "89fda0284e008d2e0c980fb13f9b5439" 3 0.00549450549450549 "89fda0284e008d2e0c980fb13f9b5439" 0 0
"51" "89fda0284e008d2e0c980fb13f98311d" 3 0.00890207715133531 "89fda0284e008d2e0c980fb13f98311d" 0 0
"52" "89fda0284e008d2e0c980fb13f9a3e49" 5 0.0103950103950104 "89fda0284e008d2e0c980fb13f9a3e49" 0 0
"53" "89fda0284e008d2e0c980fb13f999899" 1 0.00210084033613445 "89fda0284e008d2e0c980fb13f999899" 0 0
"54" "89fda0284e008d2e0c980fb13f964e6a" 12 0.0220994475138122 "89fda0284e008d2e0c980fb13f964e6a" 3 0.0410958904109589
"55" "89fda0284e008d2e0c980fb13f983809" 2 0.004149377593361 "89fda0284e008d2e0c980fb13f983809" 0 0
"56" "89fda0284e008d2e0c980fb13f9900d3" 1 0.00380228136882129 "89fda0284e008d2e0c980fb13f9900d3" 0 0
"57" "fcd13ae716841026ee760704bb0d89a7" 0 0 "fcd13ae716841026ee760704bb0d89a7" 0 0
"58" "89fda0284e008d2e0c980fb13f956856" 5 0.0145348837209302 "89fda0284e008d2e0c980fb13f956856" 0 0
"59" "89fda0284e008d2e0c980fb13f96442a" 7 0.0114192495921697 "89fda0284e008d2e0c980fb13f96442a" 2 0.0273972602739726
"60" "89fda0284e008d2e0c980fb13f99a47e" 0 0 "89fda0284e008d2e0c980fb13f99a47e" 0 0
"61" "89fda0284e008d2e0c980fb13f999c89" 4 0.00840336134453781 "89fda0284e008d2e0c980fb13f999c89" 0 0
"62" "89fda0284e008d2e0c980fb13f951435" 6 0.00978792822185971 "89fda0284e008d2e0c980fb13f951435" 0 0
"63" "89fda0284e008d2e0c980fb13f98f9d5" 0 0 "89fda0284e008d2e0c980fb13f98f9d5" 0 0
"64" "89fda0284e008d2e0c980fb13f9afb45" 2 0.00966183574879227 "89fda0284e008d2e0c980fb13f9afb45" 0 0
"65" "89fda0284e008d2e0c980fb13f9ad060" 20 0.036563071297989 "89fda0284e008d2e0c980fb13f9ad060" 2 0.0273972602739726
"66" "89fda0284e008d2e0c980fb13f981bae" 1 0.00184842883548983 "89fda0284e008d2e0c980fb13f981bae" 0 0
"67" "89fda0284e008d2e0c980fb13f9a88cd" 11 0.023109243697479 "89fda0284e008d2e0c980fb13f9a88cd" 0 0
"68" "89fda0284e008d2e0c980fb13f966281" 22 0.0402193784277879 "89fda0284e008d2e0c980fb13f966281" 0 0
"69" "89fda0284e008d2e0c980fb13f95fe45" 22 0.0358306188925081 "89fda0284e008d2e0c980fb13f95fe45" 4 0.0547945205479452
"71" "fcd13ae716841026ee760704bb0d99ee" 24 0.0391517128874388 "fcd13ae716841026ee760704bb0d99ee" 1 0.0136986301369863
"72" "fcd13ae716841026ee760704bb0da4a8" 12 0.0349854227405248 "fcd13ae716841026ee760704bb0da4a8" 0 0
"73" "89fda0284e008d2e0c980fb13f966efc" 17 0.031021897810219 "89fda0284e008d2e0c980fb13f966efc" 4 0.0547945205479452
"74" "89fda0284e008d2e0c980fb13f970c18" 28 0.0591966173361522 "89fda0284e008d2e0c980fb13f970c18" 5 0.0684931506849315
"75" "89fda0284e008d2e0c980fb13f992e2c" 8 0.0145985401459854 "89fda0284e008d2e0c980fb13f992e2c" 0 0
"76" "89fda0284e008d2e0c980fb13f99f651" 0 0 "89fda0284e008d2e0c980fb13f99f651" 0 0
"77" "70c6ba6f55ed21716fe725c21469e6ed" 3 0.00489396411092985 "70c6ba6f55ed21716fe725c21469e6ed" 0 0
"78" "89fda0284e008d2e0c980fb13f996b98" 40 0.065252854812398 "89fda0284e008d2e0c980fb13f996b98" 2 0.0273972602739726
"79" "89fda0284e008d2e0c980fb13f95dbc7" 2 0.00421940928270042 "89fda0284e008d2e0c980fb13f95dbc7" 0 0
"80" "89fda0284e008d2e0c980fb13f95477d" 3 0.00549450549450549 "89fda0284e008d2e0c980fb13f95477d" 0 0
"81" "89fda0284e008d2e0c980fb13f99886e" 7 0.0210843373493976 "89fda0284e008d2e0c980fb13f99886e" 0 0
"82" "89fda0284e008d2e0c980fb13f978216" 18 0.0331491712707182 "89fda0284e008d2e0c980fb13f978216" 2 0.0273972602739726
"83" "89fda0284e008d2e0c980fb13f964b7e" 17 0.0277324632952692 "89fda0284e008d2e0c980fb13f964b7e" 3 0.0410958904109589
"84" "89fda0284e008d2e0c980fb13f9ad888" 4 0.00836820083682008 "89fda0284e008d2e0c980fb13f9ad888" 1 0.0136986301369863
"85" "89fda0284e008d2e0c980fb13f9623b3" 0 0 "89fda0284e008d2e0c980fb13f9623b3" 0 0
"86" "89fda0284e008d2e0c980fb13f968eb0" 16 0.0261011419249592 "89fda0284e008d2e0c980fb13f968eb0" 1 0.0136986301369863
"87" "89fda0284e008d2e0c980fb13f98e475" 4 0.0146520146520147 "89fda0284e008d2e0c980fb13f98e475" 0 0
"88" "89fda0284e008d2e0c980fb13f950688" 5 0.00920810313075507 "89fda0284e008d2e0c980fb13f950688" 0 0
"89" "89fda0284e008d2e0c980fb13f98736b" 16 0.0261011419249592 "89fda0284e008d2e0c980fb13f98736b" 0 0
"90" "89fda0284e008d2e0c980fb13f9b46eb" 30 0.0549450549450549 "89fda0284e008d2e0c980fb13f9b46eb" 3 0.0410958904109589
"91" "89fda0284e008d2e0c980fb13f94fae5" 22 0.0464135021097046 "89fda0284e008d2e0c980fb13f94fae5" 2 0.0273972602739726
"92" "70c6ba6f55ed21716fe725c21469c91d" 5 0.0103950103950104 "70c6ba6f55ed21716fe725c21469c91d" 1 0.0136986301369863
"93" "89fda0284e008d2e0c980fb13f97cb4f" 0 0 "89fda0284e008d2e0c980fb13f97cb4f" 0 0
"94" "89fda0284e008d2e0c980fb13f956dab" 7 0.0174563591022444 "89fda0284e008d2e0c980fb13f956dab" 0 0
"95" "89fda0284e008d2e0c980fb13f99d8c6" 8 0.0147874306839187 "89fda0284e008d2e0c980fb13f99d8c6" 2 0.0273972602739726
"96" "89fda0284e008d2e0c980fb13f9b5305" 18 0.0869565217391304 "89fda0284e008d2e0c980fb13f9b5305" 1 0.0136986301369863
"97" "89fda0284e008d2e0c980fb13f94f3f9" 6 0.0147783251231527 "89fda0284e008d2e0c980fb13f94f3f9" 0 0
"98" "89fda0284e008d2e0c980fb13f97b53a" 1 0.0029585798816568 "89fda0284e008d2e0c980fb13f97b53a" 0 0
"99" "89fda0284e008d2e0c980fb13f96554b" 24 0.0391517128874388 "89fda0284e008d2e0c980fb13f96554b" 2 0.0273972602739726
"100" "89fda0284e008d2e0c980fb13f99a3ad" 14 0.0258780036968577 "89fda0284e008d2e0c980fb13f99a3ad" 1 0.0136986301369863
"101" "89fda0284e008d2e0c980fb13f980116" 10 0.0183150183150183 "89fda0284e008d2e0c980fb13f980116" 2 0.0273972602739726
"102" "89fda0284e008d2e0c980fb13f994cf8" 17 0.0277324632952692 "89fda0284e008d2e0c980fb13f994cf8" 1 0.0136986301369863
"103" "89fda0284e008d2e0c980fb13f9b1273" 10 0.0184162062615101 "89fda0284e008d2e0c980fb13f9b1273" 0 0
