"months" "chw" "score" "rank" "week_mean" "week_sd"
"1" 1 "89fda0284e008d2e0c980fb13f94e5b7" 830.097151111623 1 54.3441174592254 82.4906629548598
"2" 1 "89fda0284e008d2e0c980fb13f99a592" 238.198935638148 2 54.3441174592254 82.4906629548598
"3" 1 "89fda0284e008d2e0c980fb13f983809" 177.342315608628 3 54.3441174592254 82.4906629548598
"4" 1 "89fda0284e008d2e0c980fb13f9b3f75" 160.711465814384 4 54.3441174592254 82.4906629548598
"5" 1 "89fda0284e008d2e0c980fb13f957a1e" 150.957374500153 5 54.3441174592254 82.4906629548598
"6" 1 "70c6ba6f55ed21716fe725c21469fe3b" 142.108748013136 6 54.3441174592254 82.4906629548598
"7" 1 "89fda0284e008d2e0c980fb13f953df5" 122.544441001675 7 54.3441174592254 82.4906629548598
"8" 1 "89fda0284e008d2e0c980fb13f98872f" 117.468542160131 8 54.3441174592254 82.4906629548598
"9" 1 "89fda0284e008d2e0c980fb13f9a94f7" 112.130307194253 9 54.3441174592254 82.4906629548598
"10" 1 "89fda0284e008d2e0c980fb13f955485" 103.851784018977 10 54.3441174592254 82.4906629548598
"11" 1 "89fda0284e008d2e0c980fb13f97eeaa" 100.08964313031 11 54.3441174592254 82.4906629548598
"12" 1 "89fda0284e008d2e0c980fb13f95b755" 97.8676796688812 12 54.3441174592254 82.4906629548598
"13" 1 "89fda0284e008d2e0c980fb13f97dff4" 88.5715873325377 13 54.3441174592254 82.4906629548598
"14" 1 "89fda0284e008d2e0c980fb13f9528e1" 87.1518126008393 14 54.3441174592254 82.4906629548598
"15" 1 "89fda0284e008d2e0c980fb13f9a51a9" 83.6366630364843 15 54.3441174592254 82.4906629548598
"16" 1 "89fda0284e008d2e0c980fb13f9900d3" 81.7779510924059 16 54.3441174592254 82.4906629548598
"17" 1 "89fda0284e008d2e0c980fb13f96372c" 73.4411306345529 17 54.3441174592254 82.4906629548598
"18" 1 "89fda0284e008d2e0c980fb13f97722c" 72.8709903893501 18 54.3441174592254 82.4906629548598
"19" 1 "89fda0284e008d2e0c980fb13f964e6a" 72.5401657374115 19 54.3441174592254 82.4906629548598
"20" 1 "89fda0284e008d2e0c980fb13f979609" 69.5172741457494 20 54.3441174592254 82.4906629548598
"21" 1 "fcd13ae716841026ee760704bb0d89a7" 69.5045621674632 21 54.3441174592254 82.4906629548598
"22" 1 "89fda0284e008d2e0c980fb13f97850c" 68.8903077518031 22 54.3441174592254 82.4906629548598
"23" 1 "89fda0284e008d2e0c980fb13f9a3e49" 68.0862773139065 23 54.3441174592254 82.4906629548598
"24" 1 "89fda0284e008d2e0c980fb13f9899b3" 68.0647193188905 24 54.3441174592254 82.4906629548598
"25" 1 "89fda0284e008d2e0c980fb13f96807a" 67.7925331118483 25 54.3441174592254 82.4906629548598
"26" 1 "89fda0284e008d2e0c980fb13f97e56a" 67.7793905052438 26 54.3441174592254 82.4906629548598
"27" 1 "89fda0284e008d2e0c980fb13f9a7b0c" 64.2646437196676 27 54.3441174592254 82.4906629548598
"28" 1 "89fda0284e008d2e0c980fb13f97cef7" 62.3945108862044 28 54.3441174592254 82.4906629548598
"29" 1 "89fda0284e008d2e0c980fb13f978578" 58.5809796316088 29 54.3441174592254 82.4906629548598
"30" 1 "fcd13ae716841026ee760704bb0d99ee" 57.9776016849969 30 54.3441174592254 82.4906629548598
"31" 1 "89fda0284e008d2e0c980fb13f96554b" 55.8634893979604 31 54.3441174592254 82.4906629548598
"32" 1 "89fda0284e008d2e0c980fb13f99b52b" 51.4045079361319 32 54.3441174592254 82.4906629548598
"33" 1 "70c6ba6f55ed21716fe725c2146966b6" 50.2233649607315 33 54.3441174592254 82.4906629548598
"34" 1 "89fda0284e008d2e0c980fb13f95fe45" 50.0392509948891 34 54.3441174592254 82.4906629548598
"35" 1 "89fda0284e008d2e0c980fb13f95477d" 48.343212377144 35 54.3441174592254 82.4906629548598
"36" 1 "89fda0284e008d2e0c980fb13f999899" 47.5004005051165 36 54.3441174592254 82.4906629548598
"37" 1 "89fda0284e008d2e0c980fb13f978e69" 45.9371264846164 37 54.3441174592254 82.4906629548598
"38" 1 "89fda0284e008d2e0c980fb13f966281" 44.6605581860159 38 54.3441174592254 82.4906629548598
"39" 1 "89fda0284e008d2e0c980fb13f99886e" 44.3598398945981 39 54.3441174592254 82.4906629548598
"40" 1 "89fda0284e008d2e0c980fb13f980ee3" 44.2629081311359 40 54.3441174592254 82.4906629548598
"41" 1 "89fda0284e008d2e0c980fb13f98311d" 43.82794788515 41 54.3441174592254 82.4906629548598
"42" 1 "89fda0284e008d2e0c980fb13f973bdc" 43.8224821954587 42 54.3441174592254 82.4906629548598
"43" 1 "89fda0284e008d2e0c980fb13f951435" 43.5614256219564 43 54.3441174592254 82.4906629548598
"44" 1 "89fda0284e008d2e0c980fb13f9a6042" 42.6310586893609 44 54.3441174592254 82.4906629548598
"45" 1 "89fda0284e008d2e0c980fb13f99a47e" 41.6995900210117 45 54.3441174592254 82.4906629548598
"46" 1 "89fda0284e008d2e0c980fb13f98fe2e" 41.6487567088431 46 54.3441174592254 82.4906629548598
