                                 chw                            question       score            x2
55  89fda0284e008d2e0c980fb13f958239 form.bp2.not_yet_maternal_emergency  1.57914252   1.598247000
81  89fda0284e008d2e0c980fb13f961f23 form.bp2.not_yet_maternal_emergency  1.56296356   1.574780000
141 89fda0284e008d2e0c980fb13f9992a6 form.bp2.not_yet_maternal_emergency  1.56296356   1.574780000
40  89fda0284e008d2e0c980fb13f97dff4 form.bp2.not_yet_maternal_emergency  1.52149474   1.514951000
24  89fda0284e008d2e0c980fb13f9a94f7 form.bp2.not_yet_maternal_emergency  1.52071868   1.513835000
9   89fda0284e008d2e0c980fb13f9a51a9 form.bp2.not_yet_maternal_emergency  1.46913554   1.440093000
179 89fda0284e008d2e0c980fb13f9b3322 form.bp2.not_yet_maternal_emergency  1.45673259   1.422476000
161 89fda0284e008d2e0c980fb13f976d3e form.bp2.not_yet_maternal_emergency  1.43522715   1.392038000
71  89fda0284e008d2e0c980fb13f95300e form.bp2.not_yet_maternal_emergency  1.41362797   1.361607000
109 89fda0284e008d2e0c980fb13f960ab3 form.bp2.not_yet_maternal_emergency  1.41362797   1.361607000
2   89fda0284e008d2e0c980fb13f978216 form.bp2.not_yet_maternal_emergency  1.40288442   1.346524000
89  89fda0284e008d2e0c980fb13f966e31 form.bp2.not_yet_maternal_emergency  1.39193154   1.331184000
123 89fda0284e008d2e0c980fb13f9a2e6b form.bp2.not_yet_maternal_emergency  1.39193154   1.331184000
1   89fda0284e008d2e0c980fb13f95d481 form.bp2.not_yet_maternal_emergency  1.37808548   1.311846000
23  89fda0284e008d2e0c980fb13f9623b3 form.bp2.not_yet_maternal_emergency  1.37013418   1.300769000
87  89fda0284e008d2e0c980fb13f99a592 form.bp2.not_yet_maternal_emergency  1.37013418   1.300769000
153 89fda0284e008d2e0c980fb13f98a6d5 form.bp2.not_yet_maternal_emergency  1.37013418   1.300769000
154 89fda0284e008d2e0c980fb13f966281 form.bp2.not_yet_maternal_emergency  1.37013418   1.300769000
104 89fda0284e008d2e0c980fb13f96c45a form.bp2.not_yet_maternal_emergency  1.30409595   1.209567000
127 fcd13ae716841026ee760704bb0d89b2 form.bp2.not_yet_maternal_emergency  1.30409595   1.209567000
138 89fda0284e008d2e0c980fb13f980116 form.bp2.not_yet_maternal_emergency  1.30409595   1.209567000
67  89fda0284e008d2e0c980fb13f9b2365 form.bp2.not_yet_maternal_emergency  1.28185307   1.179182000
135 89fda0284e008d2e0c980fb13f9b1273 form.bp2.not_yet_maternal_emergency  1.28185307   1.179182000
21  89fda0284e008d2e0c980fb13f9aee39 form.bp2.not_yet_maternal_emergency  1.25948700   1.148804000
77  89fda0284e008d2e0c980fb13f99d8c6 form.bp2.not_yet_maternal_emergency  1.25948700   1.148804000
11  89fda0284e008d2e0c980fb13f95205a form.bp2.not_yet_maternal_emergency  1.23699239   1.118434000
118 89fda0284e008d2e0c980fb13f98317d form.bp2.not_yet_maternal_emergency  1.23699239   1.118434000
92  89fda0284e008d2e0c980fb13f995be3 form.bp2.not_yet_maternal_emergency  1.21436350   1.088071000
125 89fda0284e008d2e0c980fb13f9b5439 form.bp2.not_yet_maternal_emergency  1.21436350   1.088071000
4   89fda0284e008d2e0c980fb13f9b323a form.bp2.not_yet_maternal_emergency  1.20910431   1.081042000
173 89fda0284e008d2e0c980fb13f9528e1 form.bp2.not_yet_maternal_emergency  1.19159420   1.057716000
88  89fda0284e008d2e0c980fb13f997d88 form.bp2.not_yet_maternal_emergency  1.16658812   1.024611000
146 89fda0284e008d2e0c980fb13f94fae5 form.bp2.not_yet_maternal_emergency  1.12172855   0.965854300
183 fb6e0b19cbe3ef683a10c4c47669bc70 form.bp2.not_yet_maternal_emergency  1.05536061   0.880492300
137 89fda0284e008d2e0c980fb13f9a7b0c form.bp2.not_yet_maternal_emergency  1.05082202   0.874726200
169 89fda0284e008d2e0c980fb13f960194 form.bp2.not_yet_maternal_emergency  1.03411539   0.853582800
49  70c6ba6f55ed21716fe725c21469a1e0 form.bp2.not_yet_maternal_emergency  0.99135461   0.800065800
144 89fda0284e008d2e0c980fb13f9978cb form.bp2.not_yet_maternal_emergency  0.99135461   0.800065800
194 89fda0284e008d2e0c980fb13f999899 form.bp2.not_yet_maternal_emergency  0.99135461   0.800065800
27  89fda0284e008d2e0c980fb13f99f90d form.bp2.not_yet_maternal_emergency  0.94928613   0.748293000
30  89fda0284e008d2e0c980fb13f987d0e form.bp2.not_yet_maternal_emergency  0.94928613   0.748293000
52  89fda0284e008d2e0c980fb13f950d25 form.bp2.not_yet_maternal_emergency  0.94928613   0.748293000
76  89fda0284e008d2e0c980fb13f983809 form.bp2.not_yet_maternal_emergency  0.94928613   0.748293000
6   70c6ba6f55ed21716fe725c2146982df form.bp2.not_yet_maternal_emergency  0.90790621   0.698263200
143 89fda0284e008d2e0c980fb13f9597bc form.bp2.not_yet_maternal_emergency  0.90790621   0.698263200
162 89fda0284e008d2e0c980fb13f94f406 form.bp2.not_yet_maternal_emergency  0.90790621   0.698263200
72  89fda0284e008d2e0c980fb13f970282 form.bp2.not_yet_maternal_emergency  0.86721104   0.649975000
99  70c6ba6f55ed21716fe725c21469c91d form.bp2.not_yet_maternal_emergency  0.86721104   0.649975000
124 89fda0284e008d2e0c980fb13f9509fd form.bp2.not_yet_maternal_emergency  0.86721104   0.649975000
133 89fda0284e008d2e0c980fb13f950688 form.bp2.not_yet_maternal_emergency  0.86721104   0.649975000
202 fcd13ae716841026ee760704bb0d7ba4 form.bp2.not_yet_maternal_emergency  0.83012692   0.606803400
12  89fda0284e008d2e0c980fb13f97e56a form.bp2.not_yet_maternal_emergency  0.82998600   0.606640900
177 89fda0284e008d2e0c980fb13f98d9d7 form.bp2.not_yet_maternal_emergency  0.82719675   0.603427300
8   89fda0284e008d2e0c980fb13f99a86d form.bp2.not_yet_maternal_emergency  0.80695575   0.580249900
43  89fda0284e008d2e0c980fb13f9899b3 form.bp2.not_yet_maternal_emergency  0.78785940   0.558618700
74  70c6ba6f55ed21716fe725c214692ffd form.bp2.not_yet_maternal_emergency  0.78785940   0.558618700
129 89fda0284e008d2e0c980fb13f9692b3 form.bp2.not_yet_maternal_emergency  0.78785940   0.558618700
140 89fda0284e008d2e0c980fb13f99a47e form.bp2.not_yet_maternal_emergency  0.78785940   0.558618700
181 89fda0284e008d2e0c980fb13f95dbc7 form.bp2.not_yet_maternal_emergency  0.78785940   0.558618700
187 89fda0284e008d2e0c980fb13f958016 form.bp2.not_yet_maternal_emergency  0.78785940   0.558618700
18  89fda0284e008d2e0c980fb13f9aa5ec form.bp2.not_yet_maternal_emergency  0.77468086   0.543827400
39  89fda0284e008d2e0c980fb13f972945 form.bp2.not_yet_maternal_emergency  0.74919498   0.515548000
120 89fda0284e008d2e0c980fb13f978e69 form.bp2.not_yet_maternal_emergency  0.74919498   0.515548000
193 89fda0284e008d2e0c980fb13f9a3e49 form.bp2.not_yet_maternal_emergency  0.74919498   0.515548000
56  89fda0284e008d2e0c980fb13f9b1ab6 form.bp2.not_yet_maternal_emergency  0.74280313   0.508524300
54  89fda0284e008d2e0c980fb13f9a6a78 form.bp2.not_yet_maternal_emergency  0.71119942   0.474214100
170 89fda0284e008d2e0c980fb13f97a0ca form.bp2.not_yet_maternal_emergency  0.71119942   0.474214100
176 70c6ba6f55ed21716fe725c21469e6ed form.bp2.not_yet_maternal_emergency  0.71119942   0.474214100
116 89fda0284e008d2e0c980fb13f98abea form.bp2.not_yet_maternal_emergency  0.68232368   0.443493400
121 89fda0284e008d2e0c980fb13f99e74b form.bp2.not_yet_maternal_emergency  0.68232368   0.443493400
139 89fda0284e008d2e0c980fb13f99b52b form.bp2.not_yet_maternal_emergency  0.67386857   0.434615500
164 89fda0284e008d2e0c980fb13f978578 form.bp2.not_yet_maternal_emergency  0.67386857   0.434615500
50  89fda0284e008d2e0c980fb13f95bb9f form.bp2.not_yet_maternal_emergency  0.63719820   0.396751200
90  89fda0284e008d2e0c980fb13f981bae form.bp2.not_yet_maternal_emergency  0.63719820   0.396751200
174 89fda0284e008d2e0c980fb13f97478a form.bp2.not_yet_maternal_emergency  0.63719820   0.396751200
192 fcd13ae716841026ee760704bb0d7fee form.bp2.not_yet_maternal_emergency  0.63719820   0.396751200
16  89fda0284e008d2e0c980fb13f996b98 form.bp2.not_yet_maternal_emergency  0.61919832   0.378558200
150 89fda0284e008d2e0c980fb13f96de63 form.bp2.not_yet_maternal_emergency  0.61694158   0.376296100
62  89fda0284e008d2e0c980fb13f9ad888 form.bp2.not_yet_maternal_emergency  0.60118401   0.360619800
126 89fda0284e008d2e0c980fb13f98311d form.bp2.not_yet_maternal_emergency  0.60118401   0.360619800
166 70c6ba6f55ed21716fe725c21469ace7 form.bp2.not_yet_maternal_emergency  0.60118401   0.360619800
204 89fda0284e008d2e0c980fb13f998a68 form.bp2.not_yet_maternal_emergency  0.60118401   0.360619800
117 89fda0284e008d2e0c980fb13f956856 form.bp2.not_yet_maternal_emergency  0.56582162   0.326220100
149 70c6ba6f55ed21716fe725c214694627 form.bp2.not_yet_maternal_emergency  0.56582162   0.326220100
171 89fda0284e008d2e0c980fb13f956dab form.bp2.not_yet_maternal_emergency  0.56582162   0.326220100
156 89fda0284e008d2e0c980fb13f94f3f9 form.bp2.not_yet_maternal_emergency  0.53110656   0.293550800
159 89fda0284e008d2e0c980fb13f973bdc form.bp2.not_yet_maternal_emergency  0.53110656   0.293550800
